Lookback,RSI,Ticker,CAGR,Drawdown
13,67,TQQQ,7.11%,51.18%
15,79,TQQQ,7.06%,3.65%
10,74,TQQQ,6.96%,35.87%
13,81,TQQQ,6.86%,2.80%
13,68,TQQQ,6.77%,48.95%
13,72,TQQQ,6.76%,29.87%
6,91,TQQQ,6.66%,2.78%
15,68,TQQQ,6.66%,45.14%
11,83,TQQQ,6.66%,2.80%
8,87,TQQQ,6.60%,2.80%
8,75,TQQQ,6.58%,37.65%
7,89,TQQQ,6.54%,2.78%
11,73,TQQQ,6.52%,32.97%
11,67,TQQQ,6.50%,67.95%
12,72,TQQQ,6.43%,29.96%
12,82,TQQQ,6.41%,2.80%
9,86,TQQQ,6.38%,2.80%
15,80,TQQQ,6.37%,1.85%
4,82,TQQQ,6.37%,57.96%
12,68,TQQQ,6.29%,46.61%
8,88,TQQQ,6.26%,2.80%
9,71,TQQQ,6.24%,53.63%
3,89,TQQQ,6.22%,52.17%
15,67,TQQQ,6.16%,52.73%
14,71,TQQQ,6.13%,29.87%
7,90,TQQQ,6.07%,2.80%
14,69,TQQQ,6.00%,48.78%
12,67,TQQQ,5.97%,61.31%
10,84,TQQQ,5.95%,4.51%
13,69,TQQQ,5.93%,52.41%
3,88,TQQQ,5.91%,54.56%
4,95,TQQQ,5.91%,4.51%
7,74,TQQQ,5.86%,65.43%
10,85,TQQQ,5.76%,2.80%
9,87,TQQQ,5.68%,2.80%
14,81,TQQQ,5.65%,1.85%
5,77,TQQQ,5.61%,60.37%
15,65,TQQQ,5.56%,61.63%
6,75,TQQQ,5.54%,63.75%
8,89,TQQQ,5.47%,2.80%
10,67,TQQQ,5.45%,71.45%
9,74,TQQQ,5.43%,46.09%
12,69,TQQQ,5.40%,48.61%
14,68,TQQQ,5.38%,54.15%
8,74,TQQQ,5.36%,48.53%
11,70,TQQQ,5.34%,50.19%
7,75,TQQQ,5.34%,54.03%
11,84,TQQQ,5.34%,2.80%
12,83,TQQQ,5.24%,2.80%
5,93,TQQQ,5.23%,3.02%
13,82,TQQQ,5.16%,2.80%
13,83,TQQQ,5.00%,0.91%
10,86,TQQQ,5.00%,2.80%
2,95,TQQQ,4.97%,47.48%
12,84,TQQQ,4.89%,1.85%
11,85,TQQQ,4.89%,1.85%
15,70,TQQQ,4.78%,32.38%
9,66,TQQQ,4.72%,73.85%
5,94,TQQQ,4.69%,2.76%
9,70,TQQQ,4.69%,62.64%
6,92,TQQQ,4.59%,2.78%
14,82,TQQQ,4.49%,0.35%
15,81,TQQQ,4.49%,0.35%
11,68,TQQQ,4.34%,56.52%
10,73,TQQQ,4.21%,47.46%
13,66,TQQQ,4.20%,65.49%
8,66,TQQQ,4.19%,71.93%
11,69,TQQQ,4.19%,49.98%
8,72,TQQQ,4.13%,66.36%
7,91,TQQQ,4.13%,2.80%
8,73,TQQQ,4.12%,59.37%
11,66,TQQQ,4.09%,76.20%
12,65,TQQQ,4.07%,76.54%
10,71,TQQQ,4.04%,55.51%
10,70,TQQQ,4.01%,53.44%
10,69,TQQQ,3.95%,59.49%
14,70,TQQQ,3.91%,34.20%
8,68,TQQQ,3.87%,71.00%
11,71,TQQQ,3.87%,52.81%
15,69,TQQQ,3.86%,43.40%
9,88,TQQQ,3.84%,1.85%
4,81,TQQQ,3.83%,63.81%
7,73,TQQQ,3.79%,72.41%
13,70,TQQQ,3.78%,47.20%
12,70,TQQQ,3.78%,55.68%
12,66,TQQQ,3.71%,73.23%
9,72,TQQQ,3.71%,57.01%
7,72,TQQQ,3.68%,71.32%
8,71,TQQQ,3.66%,65.47%
8,70,TQQQ,3.59%,72.11%
15,82,TQQQ,3.57%,0.35%
10,68,TQQQ,3.53%,70.86%
14,65,TQQQ,3.53%,65.71%
14,83,TQQQ,3.46%,0.35%
13,84,TQQQ,3.45%,0.35%
13,71,TQQQ,3.45%,40.42%
4,80,TQQQ,3.37%,61.27%
11,72,TQQQ,3.35%,50.06%
5,95,TQQQ,3.33%,2.78%
6,93,TQQQ,3.33%,2.80%
8,67,TQQQ,3.31%,73.48%
13,65,TQQQ,3.26%,73.80%
11,65,TQQQ,3.22%,76.42%
7,68,TQQQ,3.19%,72.99%
3,87,TQQQ,3.08%,54.31%
8,90,TQQQ,3.04%,1.85%
7,92,TQQQ,2.98%,0.35%
9,89,TQQQ,2.98%,0.35%
8,91,TQQQ,2.98%,0.35%
8,69,TQQQ,2.98%,75.20%
5,76,TQQQ,2.94%,66.84%
10,87,TQQQ,2.85%,0.91%
10,66,TQQQ,2.81%,77.51%
9,69,TQQQ,2.64%,69.69%
11,86,TQQQ,2.64%,0.35%
6,74,TQQQ,2.61%,71.55%
9,65,TQQQ,2.57%,80.79%
9,67,TQQQ,2.52%,74.40%
7,71,TQQQ,2.50%,74.54%
6,94,TQQQ,2.47%,0.38%
6,95,TQQQ,2.41%,0.35%
7,93,TQQQ,2.41%,0.35%
8,92,TQQQ,2.41%,0.35%
9,90,TQQQ,2.41%,0.35%
6,73,TQQQ,2.39%,73.89%
12,71,TQQQ,2.36%,46.13%
9,73,TQQQ,2.33%,51.11%
2,94,TQQQ,2.33%,58.25%
7,94,TQQQ,2.30%,0.37%
9,91,TQQQ,2.30%,0.37%
12,85,TQQQ,2.30%,0.35%
13,85,TQQQ,2.29%,0.35%
10,88,TQQQ,2.29%,0.35%
12,86,TQQQ,2.29%,0.35%
11,87,TQQQ,2.29%,0.35%
10,72,TQQQ,2.19%,49.78%
3,86,TQQQ,2.12%,63.26%
10,89,TQQQ,2.07%,0.35%
11,88,TQQQ,1.95%,0.37%
7,67,TQQQ,1.93%,72.26%
7,69,TQQQ,1.92%,74.67%
10,65,TQQQ,1.68%,78.96%
14,84,TQQQ,1.63%,0.43%
15,83,TQQQ,1.63%,0.43%
14,85,TQQQ,1.56%,0.45%
15,84,TQQQ,1.56%,0.45%
7,95,TQQQ,1.56%,0.43%
8,93,TQQQ,1.56%,0.43%
8,94,TQQQ,1.56%,0.43%
8,95,TQQQ,1.56%,0.43%
9,92,TQQQ,1.56%,0.43%
9,93,TQQQ,1.56%,0.43%
9,94,TQQQ,1.56%,0.43%
9,95,TQQQ,1.56%,0.43%
7,70,TQQQ,1.56%,74.98%
14,86,TQQQ,1.41%,0.45%
13,86,TQQQ,1.41%,0.45%
13,87,TQQQ,1.41%,0.45%
10,90,TQQQ,1.41%,0.45%
12,87,TQQQ,1.41%,0.45%
12,88,TQQQ,1.41%,0.45%
11,89,TQQQ,1.41%,0.45%
15,85,TQQQ,1.36%,0.45%
14,87,TQQQ,1.22%,0.43%
14,88,TQQQ,1.22%,0.43%
14,89,TQQQ,1.22%,0.43%
14,90,TQQQ,1.22%,0.43%
14,91,TQQQ,1.22%,0.43%
14,92,TQQQ,1.22%,0.43%
14,93,TQQQ,1.22%,0.43%
14,94,TQQQ,1.22%,0.43%
14,95,TQQQ,1.22%,0.43%
13,88,TQQQ,1.22%,0.43%
13,89,TQQQ,1.22%,0.43%
13,90,TQQQ,1.22%,0.43%
13,91,TQQQ,1.22%,0.43%
13,92,TQQQ,1.22%,0.43%
13,93,TQQQ,1.22%,0.43%
13,94,TQQQ,1.22%,0.43%
13,95,TQQQ,1.22%,0.43%
15,86,TQQQ,1.22%,0.43%
15,87,TQQQ,1.22%,0.43%
15,88,TQQQ,1.22%,0.43%
15,89,TQQQ,1.22%,0.43%
15,90,TQQQ,1.22%,0.43%
15,91,TQQQ,1.22%,0.43%
15,92,TQQQ,1.22%,0.43%
15,93,TQQQ,1.22%,0.43%
15,94,TQQQ,1.22%,0.43%
15,95,TQQQ,1.22%,0.43%
10,91,TQQQ,1.21%,0.43%
10,92,TQQQ,1.21%,0.43%
10,93,TQQQ,1.21%,0.43%
10,94,TQQQ,1.21%,0.43%
10,95,TQQQ,1.21%,0.43%
12,89,TQQQ,1.21%,0.43%
12,90,TQQQ,1.21%,0.43%
12,91,TQQQ,1.21%,0.43%
12,92,TQQQ,1.21%,0.43%
12,93,TQQQ,1.21%,0.43%
12,94,TQQQ,1.21%,0.43%
12,95,TQQQ,1.21%,0.43%
11,90,TQQQ,1.21%,0.43%
11,91,TQQQ,1.21%,0.43%
11,92,TQQQ,1.21%,0.43%
11,93,TQQQ,1.21%,0.43%
11,94,TQQQ,1.21%,0.43%
11,95,TQQQ,1.21%,0.43%
3,84,TQQQ,1.15%,68.71%
3,85,TQQQ,1.03%,69.75%
9,68,TQQQ,1.00%,75.82%
8,65,TQQQ,0.79%,80.24%
2,93,TQQQ,0.32%,64.15%
4,79,TQQQ,0.29%,68.91%
4,78,TQQQ,0.11%,68.52%
5,75,TQQQ,-0.11%,72.80%
6,72,TQQQ,-0.62%,80.00%
6,71,TQQQ,-0.86%,75.42%
7,66,TQQQ,-1.30%,80.69%
4,77,TQQQ,-1.39%,68.75%
6,69,TQQQ,-2.21%,80.21%
6,67,TQQQ,-2.34%,81.08%
6,70,TQQQ,-2.53%,81.39%
