Symbol,RSI,Days,AR,MD
VCR,68,10,-10.18612069,94.2235815
VCR,68,11,-8.231667413,91.42042042
VCR,68,12,-7.824572111,93.06956957
VCR,68,13,-2.506081868,88.2005005
VCR,68,14,1.362409443,80.13948
VCR,68,15,1.565791862,79.92360666
VCR,68,16,8.153764699,66.61209381
VCR,68,17,12.43746766,66.61204801
VCR,68,18,15.32113598,66.61204561
VCR,68,19,15.51934076,66.6120455
VCR,68,20,12.08723522,61.97851655
VCR,69,5,-13.41182287,95.69907618
VCR,69,6,-13.34233841,96.11023843
VCR,69,7,-9.8683231,92.62014357
VCR,69,8,-4.919093438,90.5077488
VCR,69,9,-1.653859256,89.01440234
VCR,69,10,-2.010930947,88.80660142
VCR,69,11,-5.464435655,91.8976977
VCR,69,12,-0.147778778,86.65625626
VCR,69,13,1.119747829,83.35775776
VCR,69,14,6.01671755,70.28856907
VCR,69,15,9.046485749,57.76406406
VCR,69,16,13.71629787,54.51761532
VCR,69,17,18.42820431,51.54895153
VCR,69,18,17.82490156,51.4742847
VCR,69,19,17.11199166,49.46849112
VCR,69,20,15.46992542,37.03293627
VCR,70,5,-9.58513635,95.53831288
VCR,70,6,-6.63446619,93.79822145
VCR,70,7,-2.931511151,91.28597221
VCR,70,8,-3.703421554,90.26083899
VCR,70,9,0.148148711,87.61391465
VCR,70,10,2.251581561,86.07975212
VCR,70,11,5.461989305,80.54454454
VCR,70,12,5.958232702,76.29249249
VCR,70,13,8.210987187,57.93133133
VCR,70,14,13.81999743,46.49201125
VCR,70,15,14.41057226,46.49202751
VCR,70,16,17.32427873,46.40959259
VCR,70,17,19.16008042,43.93168278
VCR,70,18,17.8265654,37.03289118
VCR,70,19,19.54418208,30.10864393
VCR,70,20,20.51709093,30.10862
VCR,71,5,-7.647678756,92.9920909
VCR,71,6,-5.392365916,92.78943653
VCR,71,7,0.32620972,88.59590559
VCR,71,8,3.980945113,85.72818192
VCR,71,9,5.917196735,82.46033413
VCR,71,10,7.777651359,79.19688268
VCR,71,11,10.48199798,68.0925595
VCR,71,12,8.919456794,57.92502503
VCR,71,13,13.14657081,46.40957168
VCR,71,14,16.47008238,46.40957502
VCR,71,15,16.65768747,42.34163892
VCR,71,16,13.06365049,42.34162957
VCR,71,17,20.58532411,30.10864498
VCR,71,18,21.00009254,25.4990872
VCR,71,19,18.33205606,25.05833323
VCR,71,20,16.47414912,25.05834336
VCR,72,5,-6.189012307,91.26033283
VCR,72,6,-1.852958386,89.14194368
VCR,72,7,4.408788791,89.10368766
VCR,72,8,10.00550213,79.24621008
VCR,72,9,6.319391817,79.80841767
