Symbol,Days,RSI,AR,MD ,Calmar
DTH,3,92,5.63%,19.43%,0.3
SPHD,14,75,5.63%,14.34%,0.4
RSPT,15,67,5.63%,48.22%,0.1
FXE,11,72,5.63%,20.72%,0.3
DHS,9,81,5.62%,9.15%,0.6
GNMA,12,79,5.62%,22.43%,0.3
RSPT,15,74,5.62%,7.54%,0.7
IDLV,12,68,5.62%,28.28%,0.2
EWH,12,73,5.61%,15.77%,0.4
UNL,14,69,5.61%,36.99%,0.2
IDLV,6,80,5.61%,13.99%,0.4
TQQQ,5,77,5.61%,60.37%,0.1
SPHD,6,83,5.60%,15.73%,0.4
IOO,13,78,5.60%,4.26%,1.3
DHS,11,75,5.60%,22.41%,0.2
SPLV,9,76,5.60%,24.76%,0.2
IDLV,7,77,5.59%,16.54%,0.3
SPLV,12,78,5.59%,10.97%,0.5
PHDG,10,67,5.58%,41.84%,0.1
RINF,14,79,5.58%,13.46%,0.4
FDL,4,92,5.58%,8.96%,0.6
RSPT,15,68,5.58%,26.06%,0.2
SPHD,15,76,5.58%,4.48%,1.2
USCI,11,79,5.58%,16.10%,0.3
USCI,6,82,5.58%,14.98%,0.4
GNMA,13,76,5.58%,28.51%,0.2
RINF,14,74,5.58%,23.61%,0.2
RINF,13,75,5.57%,23.61%,0.2
FDL,9,71,5.57%,48.60%,0.1
RINF,10,80,5.57%,22.50%,0.2
SPLV,7,78,5.56%,27.81%,0.2
IDLV,8,75,5.56%,19.31%,0.3
DHS,5,78,5.56%,32.95%,0.2
FDL,9,72,5.56%,46.78%,0.1
XMPT,14,84,5.56%,17.30%,0.3
TQQQ,15,65,5.56%,61.63%,0.1
DHS,6,86,5.55%,9.15%,0.6
DHS,6,85,5.55%,9.82%,0.6
EWH,12,70,5.55%,22.14%,0.3
FXE,6,78,5.55%,29.24%,0.2
FXE,8,76,5.55%,27.87%,0.2
FXE,4,78,5.55%,42.27%,0.1
FDL,7,74,5.55%,33.19%,0.2
XMPT,15,84,5.55%,17.30%,0.3
IDLV,9,73,5.54%,20.23%,0.3
TQQQ,6,75,5.54%,63.75%,0.1
PHDG,10,81,5.54%,9.81%,0.6
DHS,13,65,5.54%,68.91%,0.1
GNMA,15,74,5.54%,28.90%,0.2
GNMA,14,75,5.53%,28.90%,0.2
GNMA,8,74,5.53%,36.37%,0.2
UNL,9,75,5.53%,16.42%,0.3
FXE,3,89,5.52%,30.81%,0.2
FDL,12,67,5.51%,60.94%,0.1
USCI,8,78,5.51%,18.27%,0.3
SPLV,5,77,5.51%,43.36%,0.1
PHDG,11,79,5.51%,9.81%,0.6
SPHD,13,69,5.50%,46.97%,0.1
FDL,5,90,5.50%,8.96%,0.6
PHDG,13,78,5.50%,9.81%,0.6
GNMA,14,76,5.50%,24.50%,0.2
RINF,12,78,5.50%,24.01%,0.2
USCI,12,73,5.50%,28.09%,0.2
SPLV,11,77,5.49%,13.34%,0.4
EWH,7,72,5.49%,31.86%,0.2
EWH,13,73,5.49%,24.47%,0.2
SPTI,8,82,5.49%,45.61%,0.1
SPTI,15,71,5.49%,41.73%,0.1
SPTI,10,80,5.49%,42.84%,0.1
GNMA,4,91,5.49%,27.43%,0.2
DTH,12,74,5.48%,12.16%,0.5
EWH,8,71,5.48%,35.03%,0.2
GNMA,13,73,5.48%,33.29%,0.2
SPHD,7,84,5.47%,10.28%,0.5
EWH,7,68,5.47%,48.55%,0.1
TQQQ,8,89,5.47%,2.80%,2
EWH,15,72,5.47%,20.92%,0.3
DHS,15,73,5.47%,9.15%,0.6
USCI,7,78,5.45%,30.27%,0.2
XMPT,13,84,5.45%,17.30%,0.3
TQQQ,10,67,5.45%,71.45%,0.1
FDL,4,86,5.45%,27.12%,0.2
PHDG,7,86,5.45%,11.20%,0.5
SPHD,5,78,5.45%,46.75%,0.1
EWH,6,71,5.44%,42.63%,0.1
RINF,12,77,5.44%,24.61%,0.2
RINF,11,78,5.43%,23.27%,0.2
USCI,6,80,5.43%,26.64%,0.2
USCI,10,75,5.43%,25.09%,0.2
DTH,9,76,5.43%,19.91%,0.3
TQQQ,9,74,5.43%,46.09%,0.1
DHS,6,75,5.43%,33.22%,0.2
USCI,9,80,5.43%,14.96%,0.4
FXE,6,73,5.43%,46.42%,0.1
XMPT,14,83,5.42%,17.30%,0.3
DHS,7,81,5.42%,11.16%,0.5
IOO,2,93,5.42%,38.79%,0.1
DTH,4,85,5.42%,27.58%,0.2
EWH,6,80,5.42%,31.88%,0.2
RSPT,11,68,5.42%,36.57%,0.1
DHS,6,81,5.42%,33.57%,0.2
DTH,10,70,5.42%,31.78%,0.2
SPLV,8,81,5.41%,16.17%,0.3
IOO,9,83,5.41%,4.30%,1.3
DHS,4,91,5.41%,9.51%,0.6
RINF,15,73,5.41%,25.23%,0.2
SPHD,12,78,5.41%,5.15%,1.1
FDL,8,85,5.40%,8.96%,0.6
TQQQ,12,69,5.40%,48.61%,0.1
BIV,6,78,5.40%,55.66%,0.1
PHDG,8,84,5.39%,10.00%,0.5
DHS,8,83,5.39%,9.15%,0.6
PHDG,6,88,5.39%,11.20%,0.5
SPLV,9,79,5.39%,15.93%,0.3
TQQQ,14,68,5.38%,54.15%,0.1
SPHD,5,87,5.38%,10.96%,0.5
EWH,7,79,5.38%,28.15%,0.2
SPTI,6,87,5.37%,31.86%,0.2
PHDG,12,79,5.37%,9.81%,0.5
FXE,3,87,5.37%,33.37%,0.2
SPLV,9,78,5.37%,19.89%,0.3
DHS,6,70,5.37%,65.76%,0.1
IOO,10,82,5.37%,4.30%,1.2
SPLV,3,84,5.37%,41.90%,0.1
FXE,5,74,5.37%,49.25%,0.1
BIV,3,91,5.37%,48.15%,0.1
DHS,7,83,5.37%,9.82%,0.5
IDLV,7,82,5.37%,3.74%,1.4
USCI,7,81,5.37%,14.34%,0.4
TQQQ,8,74,5.36%,48.53%,0.1
UNL,7,79,5.36%,15.80%,0.3
FDL,6,88,5.36%,8.96%,0.6
FXE,8,79,5.36%,23.30%,0.2
RSPT,14,68,5.36%,36.58%,0.1
BIV,9,79,5.36%,39.51%,0.1
USCI,6,68,5.35%,44.68%,0.1
FXE,7,78,5.35%,28.13%,0.2
TQQQ,11,70,5.34%,50.19%,0.1
IDLV,8,80,5.34%,4.30%,1.2
DTH,14,73,5.34%,9.40%,0.6
TQQQ,7,75,5.34%,54.03%,0.1
TQQQ,11,84,5.34%,2.80%,1.9
DHS,9,69,5.33%,51.34%,0.1
USCI,11,72,5.33%,23.99%,0.2
RINF,11,79,5.33%,24.61%,0.2
EWH,10,72,5.32%,24.50%,0.2
USCI,14,72,5.32%,21.30%,0.2
IDLV,15,71,5.32%,6.38%,0.8
SPHD,11,78,5.31%,9.24%,0.6
PHDG,5,92,5.31%,2.28%,2.3
RSPT,11,71,5.31%,29.87%,0.2
EWH,10,68,5.31%,43.40%,0.1
GNMA,7,86,5.31%,23.25%,0.2
RSPT,6,87,5.31%,6.39%,0.8
RSPT,6,80,5.31%,28.44%,0.2
USCI,13,73,5.30%,23.19%,0.2
EWH,7,66,5.30%,44.23%,0.1
USCI,10,77,5.30%,25.11%,0.2
GNMA,7,77,5.29%,31.47%,0.2
RSPT,8,75,5.29%,36.66%,0.1
BIV,4,88,5.29%,50.80%,0.1
XMPT,11,88,5.29%,13.40%,0.4
RINF,15,77,5.29%,16.33%,0.3
RINF,14,78,5.29%,16.33%,0.3
RINF,13,80,5.29%,16.33%,0.3
SPLV,3,82,5.29%,45.26%,0.1
PHDG,15,77,5.29%,9.80%,0.5
IOO,5,90,5.29%,4.36%,1.2
FXE,7,79,5.29%,25.65%,0.2
FXE,11,73,5.28%,23.29%,0.2
USCI,8,65,5.28%,57.57%,0.1
USCI,12,72,5.28%,23.99%,0.2
EWH,14,68,5.28%,26.99%,0.2
GNMA,15,73,5.28%,25.42%,0.2
SPHD,11,80,5.28%,5.02%,1.1
EWH,5,74,5.27%,49.51%,0.1
SPHD,4,86,5.27%,25.83%,0.2
PHDG,12,66,5.26%,40.14%,0.1
EWH,8,68,5.26%,48.71%,0.1
BIV,14,71,5.26%,50.00%,0.1
GNMA,3,94,5.26%,27.02%,0.2
SPLV,4,71,5.25%,65.95%,0.1
TQQQ,12,83,5.24%,2.80%,1.9
DTH,11,78,5.24%,4.26%,1.2
EWH,9,65,5.24%,40.36%,0.1
IDLV,14,65,5.24%,47.34%,0.1
DTH,5,79,5.24%,31.53%,0.2
UNL,10,75,5.23%,13.77%,0.4
UNL,14,70,5.23%,23.73%,0.2
SPTI,14,70,5.23%,44.54%,0.1
TQQQ,5,93,5.23%,3.02%,1.7
DHS,5,89,5.22%,9.15%,0.6
DHS,3,95,5.22%,10.13%,0.5
EWH,11,66,5.22%,36.18%,0.1
EWH,6,68,5.22%,47.46%,0.1
PHDG,6,90,5.21%,2.28%,2.3
SPHD,10,81,5.21%,5.02%,1
DHS,13,67,5.21%,44.18%,0.1
EWH,8,74,5.21%,30.63%,0.2
SPLV,7,82,5.21%,17.55%,0.3
RSPT,7,86,5.20%,3.78%,1.4
DTH,4,86,5.20%,24.67%,0.2
SPLV,3,95,5.20%,10.68%,0.5
GNMA,8,85,5.19%,21.25%,0.2
GNMA,4,84,5.19%,43.13%,0.1
IDLV,5,85,5.19%,8.67%,0.6
PHDG,4,95,5.19%,1.59%,3.3
IDLV,9,72,5.19%,28.70%,0.2
FDL,9,83,5.19%,8.96%,0.6
USCI,15,75,5.19%,18.02%,0.3
DHS,11,68,5.19%,49.71%,0.1
RINF,14,73,5.19%,25.23%,0.2
GNMA,9,73,5.19%,36.37%,0.1
RSPT,9,83,5.18%,3.48%,1.5
FXE,6,83,5.18%,23.30%,0.2
DHS,5,87,5.17%,10.57%,0.5
DTH,4,84,5.17%,24.87%,0.2
GNMA,8,75,5.17%,34.37%,0.2
SPHD,9,81,5.16%,9.25%,0.6
TQQQ,13,82,5.16%,2.80%,1.8
DHS,5,83,5.16%,26.18%,0.2
USCI,7,77,5.16%,34.82%,0.1
IOO,3,83,5.16%,45.73%,0.1
RINF,11,76,5.15%,23.68%,0.2
RINF,12,75,5.15%,23.68%,0.2
USCI,10,76,5.15%,25.79%,0.2
EWH,10,79,5.15%,20.46%,0.3
PHDG,8,67,5.15%,56.26%,0.1
EWH,11,74,5.14%,19.91%,0.3
RSPT,7,87,5.14%,3.48%,1.5
RSPT,8,85,5.14%,3.48%,1.5
XMPT,12,84,5.14%,17.30%,0.3
USCI,11,73,5.13%,28.09%,0.2
IDLV,7,78,5.13%,14.38%,0.4
BIV,11,74,5.12%,40.24%,0.1
USCI,8,76,5.12%,30.09%,0.2
FXE,12,72,5.12%,23.29%,0.2
BIV,13,81,5.12%,23.41%,0.2
GNMA,15,75,5.12%,29.43%,0.2
XMPT,12,87,5.11%,14.23%,0.4
RSPT,5,81,5.11%,41.09%,0.1
DHS,12,67,5.11%,52.63%,0.1
FXE,7,81,5.11%,23.30%,0.2
DHS,10,77,5.11%,20.51%,0.2
PHDG,8,85,5.11%,9.99%,0.5
BIV,10,72,5.11%,57.63%,0.1
IOO,5,72,5.11%,56.30%,0.1
FXE,4,86,5.11%,29.01%,0.2
DHS,12,69,5.11%,38.37%,0.1
FXE,9,75,5.11%,23.29%,0.2
DHS,4,85,5.10%,36.93%,0.1
USCI,7,66,5.10%,42.94%,0.1
BIV,10,85,5.10%,21.92%,0.2
SPHD,15,75,5.10%,6.31%,0.8
SPLV,4,86,5.10%,22.58%,0.2
RINF,12,76,5.09%,23.42%,0.2
SPTI,3,91,5.09%,38.84%,0.1
DHS,8,79,5.09%,15.88%,0.3
SPLV,12,76,5.08%,13.34%,0.4
BIV,12,83,5.08%,23.72%,0.2
PHDG,10,69,5.08%,43.69%,0.1
XMPT,13,86,5.08%,17.30%,0.3
SPHD,4,89,5.08%,17.73%,0.3
SPLV,8,77,5.08%,28.39%,0.2
XMPT,14,86,5.08%,14.23%,0.4
SPLV,5,65,5.08%,75.10%,0.1
FDL,14,76,5.07%,8.96%,0.6
DHS,8,82,5.07%,9.15%,0.6
EWH,7,78,5.06%,29.26%,0.2
RSPT,4,90,5.06%,19.40%,0.3
GNMA,5,90,5.06%,16.91%,0.3
RSPT,4,89,5.06%,24.19%,0.2
RSPT,10,81,5.06%,3.78%,1.3
UNL,11,71,5.05%,32.08%,0.2
SPLV,4,82,5.05%,39.50%,0.1
FDL,7,73,5.05%,35.78%,0.1
SPTI,4,85,5.04%,56.51%,0.1
USCI,10,73,5.04%,28.09%,0.2
FXE,12,73,5.04%,23.00%,0.2
EWH,5,80,5.04%,40.86%,0.1
IDLV,13,68,5.04%,28.24%,0.2
XMPT,12,86,5.03%,17.30%,0.3
RSPT,13,68,5.03%,41.23%,0.1
DTH,15,73,5.03%,7.60%,0.7
RINF,11,81,5.02%,19.39%,0.3
RINF,12,80,5.02%,19.39%,0.3
DHS,5,75,5.02%,38.11%,0.1
SPTI,13,70,5.02%,47.91%,0.1
IDLV,14,72,5.02%,6.38%,0.8
SPHD,10,80,5.02%,8.17%,0.6
PHDG,7,75,5.02%,38.26%,0.1
FXE,4,85,5.01%,32.18%,0.2
PHDG,8,72,5.01%,45.34%,0.1
SPLV,3,80,5.00%,55.49%,0.1
TQQQ,13,83,5.00%,0.91%,5.5
DHS,6,83,5.00%,11.45%,0.4
SPLV,7,83,5.00%,14.98%,0.3
TQQQ,10,86,5.00%,2.80%,1.8
FXE,14,71,4.99%,18.81%,0.3
DHS,4,81,4.99%,32.95%,0.2
SPTI,7,76,4.99%,45.82%,0.1
SPLV,13,78,4.99%,9.47%,0.5
PHDG,11,80,4.99%,9.81%,0.5
SPLV,8,78,4.99%,29.61%,0.2
EWH,4,82,4.98%,37.80%,0.1
DHS,12,65,4.98%,67.04%,0.1
USCI,4,82,4.97%,38.90%,0.1
GNMA,4,82,4.97%,50.69%,0.1
EWH,9,70,4.97%,37.70%,0.1
PHDG,7,88,4.97%,2.28%,2.2
TQQQ,2,95,4.97%,47.48%,0.1
RSPT,4,85,4.97%,29.96%,0.2
SPTI,4,84,4.97%,59.75%,0.1
DHS,4,80,4.97%,33.31%,0.1
XMPT,10,88,4.97%,14.23%,0.3
GNMA,15,72,4.97%,36.06%,0.1
GNMA,12,68,4.96%,43.39%,0.1
PHDG,4,91,4.96%,20.87%,0.2
SPHD,12,79,4.96%,5.15%,1
FDL,6,74,4.96%,44.01%,0.1
EWH,4,79,4.96%,40.67%,0.1
DTH,10,67,4.95%,45.64%,0.1
SPHD,6,86,4.95%,10.27%,0.5
RSPT,5,87,4.95%,17.75%,0.3
USCI,11,77,4.95%,18.73%,0.3
DHS,13,76,4.95%,9.21%,0.5
FDL,4,93,4.95%,8.96%,0.6
FDL,14,65,4.95%,69.08%,0.1
RSPT,6,89,4.95%,3.81%,1.3
FXE,6,79,4.94%,28.49%,0.2
PHDG,14,78,4.94%,9.80%,0.5
SPHD,5,89,4.94%,11.15%,0.4
SPHD,5,77,4.93%,52.47%,0.1
PHDG,9,84,4.93%,9.99%,0.5
DTH,9,78,4.93%,12.15%,0.4
BIV,8,79,4.93%,47.53%,0.1
FDL,7,87,4.93%,8.96%,0.5
DHS,5,90,4.93%,9.15%,0.5
PHDG,9,69,4.93%,46.74%,0.1
USCI,10,72,4.92%,28.35%,0.2
RSPT,6,88,4.92%,4.65%,1.1
PHDG,3,95,4.91%,20.87%,0.2
FXE,6,84,4.90%,19.74%,0.2
GNMA,12,73,4.90%,33.31%,0.1
XMPT,13,87,4.90%,14.23%,0.3
UNL,15,68,4.89%,35.80%,0.1
GNMA,4,90,4.89%,32.69%,0.1
IDLV,10,72,4.89%,18.18%,0.3
SPHD,10,70,4.89%,51.15%,0.1
TQQQ,12,84,4.89%,1.85%,2.6
SPHD,4,83,4.89%,33.58%,0.1
TQQQ,11,85,4.89%,1.85%,2.6
UNL,10,72,4.89%,35.60%,0.1
SPTI,9,81,4.89%,45.61%,0.1
XMPT,12,83,4.88%,17.30%,0.3
SPTI,15,69,4.88%,50.64%,0.1
XMPT,15,86,4.88%,13.40%,0.4
IDLV,15,67,4.88%,35.37%,0.1
DTH,7,71,4.88%,43.35%,0.1
SPTI,11,79,4.88%,42.95%,0.1
SPLV,3,81,4.87%,48.44%,0.1
SPTI,6,86,4.87%,34.66%,0.1
DHS,3,88,4.87%,38.34%,0.1
DTH,11,66,4.87%,40.91%,0.1
DTH,10,79,4.87%,5.02%,1
XMPT,12,88,4.87%,14.52%,0.3
FDL,10,82,4.87%,8.96%,0.5
SPHD,5,88,4.86%,9.98%,0.5
IDLV,6,79,4.86%,15.35%,0.3
DTH,8,77,4.86%,22.74%,0.2
FXE,10,75,4.86%,27.86%,0.2
SPHD,4,90,4.86%,17.86%,0.3
IDLV,5,81,4.86%,17.04%,0.3
USCI,14,75,4.85%,25.11%,0.2
BIV,9,86,4.85%,24.53%,0.2
IOO,14,78,4.85%,4.26%,1.1
RINF,13,74,4.85%,26.60%,0.2
SPTI,13,77,4.85%,40.62%,0.1
USCI,3,93,4.85%,21.38%,0.2
IOO,15,77,4.84%,4.26%,1.1
PHDG,7,70,4.84%,58.48%,0.1
GNMA,5,80,4.84%,43.39%,0.1
IDLV,10,70,4.84%,38.92%,0.1
DHS,10,66,4.83%,57.23%,0.1
DTH,8,80,4.82%,9.88%,0.5
SPTI,9,82,4.82%,40.26%,0.1
RINF,13,79,4.82%,20.47%,0.2
IOO,10,83,4.81%,2.33%,2.1
XMPT,13,85,4.81%,17.30%,0.3
EWH,5,79,4.81%,40.94%,0.1
RINF,11,80,4.81%,19.39%,0.2
RINF,12,79,4.81%,19.39%,0.2
XMPT,15,85,4.80%,17.30%,0.3
FDL,5,92,4.80%,8.96%,0.5
SPHD,15,74,4.80%,14.97%,0.3
SPLV,12,79,4.80%,9.47%,0.5
FDL,13,66,4.80%,65.84%,0.1
FDL,5,76,4.80%,42.89%,0.1
BIV,11,84,4.79%,25.14%,0.2
RINF,15,78,4.79%,16.79%,0.3
USCI,11,75,4.79%,25.11%,0.2
IDLV,6,81,4.79%,15.77%,0.3
FDL,3,93,4.79%,25.67%,0.2
IDLV,11,67,4.79%,45.25%,0.1
XMPT,13,83,4.79%,17.48%,0.3
EWH,7,69,4.78%,43.30%,0.1
TQQQ,15,70,4.78%,32.38%,0.1
IDLV,10,68,4.78%,35.82%,0.1
RSPT,14,77,4.78%,2.07%,2.3
RSPT,13,78,4.78%,2.07%,2.3
SPLV,11,79,4.78%,11.97%,0.4
FDL,8,84,4.78%,8.96%,0.5
RINF,10,79,4.78%,24.68%,0.2
FDL,3,95,4.78%,9.53%,0.5
RINF,11,77,4.77%,23.49%,0.2
SPTI,15,75,4.77%,46.82%,0.1
UNL,7,78,4.77%,19.02%,0.3
DHS,12,77,4.77%,9.21%,0.5
UNL,11,72,4.76%,27.14%,0.2
DTH,7,82,4.76%,9.21%,0.5
DHS,14,75,4.76%,9.21%,0.5
DHS,6,84,4.76%,9.50%,0.5
FDL,15,75,4.76%,9.08%,0.5
RINF,13,78,4.75%,19.99%,0.2
SPLV,8,80,4.75%,17.52%,0.3
EWH,5,77,4.75%,35.23%,0.1
SPLV,15,77,4.75%,4.48%,1.1
IOO,9,84,4.75%,2.33%,2
EWH,5,81,4.75%,31.63%,0.2
DTH,12,77,4.75%,4.26%,1.1
BIV,3,90,4.74%,55.11%,0.1
FXE,6,80,4.74%,29.25%,0.2
SPLV,11,76,4.74%,16.71%,0.3
DHS,4,84,4.74%,32.87%,0.1
SPLV,6,84,4.74%,22.28%,0.2
USCI,8,82,4.74%,14.78%,0.3
XMPT,14,85,4.74%,17.30%,0.3
RSPT,15,76,4.74%,2.07%,2.3
GNMA,7,76,4.74%,35.48%,0.1
USCI,6,67,4.73%,57.12%,0.1
FDL,4,94,4.73%,8.96%,0.5
EWH,11,76,4.73%,26.11%,0.2
DHS,5,76,4.73%,39.92%,0.1
PHDG,4,90,4.73%,22.08%,0.2
USCI,9,77,4.73%,25.11%,0.2
XMPT,11,86,4.72%,17.30%,0.3
USCI,8,79,4.72%,18.27%,0.3
XMPT,10,89,4.72%,14.50%,0.3
USCI,9,75,4.72%,25.09%,0.2
TQQQ,9,66,4.72%,73.85%,0.1
UNL,9,77,4.71%,12.26%,0.4
IOO,12,81,4.71%,4.30%,1.1
EWH,8,70,4.71%,39.35%,0.1
SPHD,6,85,4.71%,12.07%,0.4
DHS,3,93,4.71%,16.06%,0.3
PHDG,8,86,4.71%,2.28%,2.1
FXE,7,80,4.70%,25.66%,0.2
SPLV,3,83,4.70%,40.29%,0.1
DHS,6,87,4.70%,9.15%,0.5
EWH,8,77,4.70%,29.26%,0.2
EWH,9,68,4.70%,46.09%,0.1
USCI,9,74,4.70%,35.79%,0.1
DTH,13,65,4.70%,41.31%,0.1
DTH,6,84,4.70%,12.47%,0.4
RSPT,12,79,4.69%,2.07%,2.3
EWH,8,73,4.69%,31.72%,0.1
DHS,4,93,4.69%,6.64%,0.7
TQQQ,5,94,4.69%,2.76%,1.7
SPHD,15,77,4.69%,2.30%,2
TQQQ,9,70,4.69%,62.64%,0.1
SPLV,4,80,4.69%,46.74%,0.1
FDL,5,91,4.69%,8.96%,0.5
GNMA,15,70,4.68%,41.48%,0.1
PHDG,9,85,4.68%,2.61%,1.8
EWH,6,79,4.68%,30.14%,0.2
SPHD,4,88,4.68%,22.88%,0.2
XMPT,12,85,4.68%,17.30%,0.3
SPLV,10,77,4.68%,17.91%,0.3
SPHD,4,82,4.67%,39.82%,0.1
BIV,14,86,4.67%,0.43%,10.8
EWH,9,71,4.67%,35.14%,0.1
IDLV,13,74,4.67%,9.14%,0.5
DTH,10,71,4.67%,28.58%,0.2
BIV,10,89,4.67%,0.43%,10.8
BIV,11,88,4.67%,0.43%,10.8
RINF,8,80,4.66%,26.82%,0.2
SPHD,5,86,4.66%,19.22%,0.2
FDL,4,95,4.66%,8.96%,0.5
BIV,14,80,4.66%,20.68%,0.2
FDL,4,80,4.66%,53.35%,0.1
EWH,4,81,4.66%,39.71%,0.1
PHDG,4,86,4.66%,23.53%,0.2
IOO,11,82,4.66%,4.30%,1.1
SPLV,5,79,4.65%,38.84%,0.1
IOO,8,86,4.65%,2.33%,2
GNMA,15,78,4.65%,20.20%,0.2
SPLV,12,72,4.65%,36.02%,0.1
GNMA,13,72,4.65%,36.92%,0.1
SPTI,15,70,4.65%,44.92%,0.1
XMPT,11,87,4.65%,17.30%,0.3
GNMA,8,73,4.65%,35.65%,0.1
SPLV,14,77,4.64%,9.47%,0.5
RSPT,11,81,4.64%,2.07%,2.2
XMPT,9,89,4.63%,14.50%,0.3
RINF,9,78,4.63%,26.82%,0.2
EWH,10,70,4.63%,32.47%,0.1
BIV,8,77,4.63%,41.78%,0.1
SPTI,11,78,4.63%,50.27%,0.1
BIV,10,75,4.63%,43.86%,0.1
DTH,4,88,4.62%,23.02%,0.2
PHDG,11,67,4.62%,35.82%,0.1
EWH,12,74,4.62%,24.47%,0.2
SPTI,4,90,4.61%,24.67%,0.2
IOO,7,88,4.61%,2.33%,2
DHS,11,69,4.61%,47.47%,0.1
IOO,12,80,4.61%,4.26%,1.1
SPLV,6,65,4.61%,73.79%,0.1
FXE,8,78,4.61%,25.66%,0.2
IOO,11,81,4.61%,4.30%,1.1
RSPT,10,82,4.61%,2.07%,2.2
IDLV,14,73,4.60%,9.14%,0.5
DTH,7,83,4.59%,7.23%,0.6
SPTI,5,90,4.59%,20.67%,0.2
TQQQ,6,92,4.59%,2.78%,1.7
USCI,12,74,4.59%,25.09%,0.2
FDL,9,82,4.58%,8.96%,0.5
EWH,6,75,4.58%,33.79%,0.1
DHS,4,92,4.58%,10.13%,0.5
XMPT,14,81,4.58%,18.33%,0.2
EWH,9,73,4.57%,26.71%,0.2
RINF,15,79,4.57%,19.12%,0.2
XMPT,15,87,4.57%,11.59%,0.4
SPLV,5,68,4.57%,66.22%,0.1
PHDG,7,87,4.57%,9.99%,0.5
DTH,5,85,4.56%,16.76%,0.3
IOO,13,79,4.56%,4.26%,1.1
RINF,14,80,4.56%,19.22%,0.2
XMPT,14,87,4.56%,14.52%,0.3
SPLV,11,80,4.55%,10.97%,0.4
BIV,8,88,4.55%,24.53%,0.2
RSPT,8,86,4.55%,2.07%,2.2
DTH,4,82,4.55%,40.66%,0.1
RSPT,9,84,4.55%,2.07%,2.2
EWH,11,71,4.55%,25.26%,0.2
DTH,6,85,4.55%,7.23%,0.6
BIV,3,95,4.55%,39.99%,0.1
FXE,6,81,4.54%,25.78%,0.2
BIV,8,78,4.54%,44.33%,0.1
DHS,7,85,4.54%,9.15%,0.5
UNL,13,71,4.53%,23.73%,0.2
USCI,8,77,4.53%,26.32%,0.2
USCI,4,87,4.53%,30.87%,0.1
IDLV,6,84,4.53%,3.74%,1.2
EWH,5,75,4.53%,42.84%,0.1
BIV,12,82,4.53%,27.85%,0.2
XMPT,9,88,4.53%,13.40%,0.3
RINF,15,76,4.53%,16.66%,0.3
PHDG,13,79,4.53%,9.80%,0.5
DTH,6,86,4.52%,6.01%,0.8
USCI,7,65,4.52%,57.45%,0.1
USCI,4,80,4.52%,42.26%,0.1
PHDG,9,83,4.52%,9.99%,0.5
IOO,9,85,4.51%,2.33%,1.9
DTH,10,77,4.51%,12.16%,0.4
FXE,11,78,4.51%,18.71%,0.2
DHS,3,87,4.51%,36.08%,0.1
FDL,13,77,4.51%,8.96%,0.5
XMPT,14,88,4.50%,9.58%,0.5
GNMA,14,79,4.50%,21.71%,0.2
DHS,14,65,4.50%,73.13%,0.1
GNMA,13,80,4.50%,21.71%,0.2
SPLV,7,79,4.50%,29.97%,0.2
EWH,14,73,4.50%,20.46%,0.2
SPLV,10,81,4.49%,11.97%,0.4
EWH,11,77,4.49%,19.88%,0.2
TQQQ,14,82,4.49%,0.35%,12.7
TQQQ,15,81,4.49%,0.35%,12.7
GNMA,14,71,4.48%,40.58%,0.1
UNL,9,78,4.48%,10.64%,0.4
EWH,9,76,4.48%,22.91%,0.2
DTH,4,81,4.47%,45.78%,0.1
IDLV,5,86,4.47%,7.95%,0.6
RSPT,8,74,4.46%,37.65%,0.1
XMPT,15,82,4.46%,17.30%,0.3
RSPT,11,80,4.45%,3.48%,1.3
EWH,9,75,4.45%,20.55%,0.2
SPLV,9,81,4.45%,13.12%,0.3
EWH,8,82,4.45%,21.58%,0.2
DTH,8,78,4.44%,17.15%,0.3
BIV,9,77,4.44%,40.16%,0.1
SPLV,4,92,4.44%,9.07%,0.5
FXE,8,69,4.44%,53.71%,0.1
GNMA,14,66,4.44%,50.57%,0.1
UNL,12,70,4.44%,38.10%,0.1
FXE,10,74,4.44%,23.29%,0.2
FDL,8,86,4.43%,8.96%,0.5
USCI,14,73,4.43%,25.49%,0.2
USCI,5,84,4.43%,25.89%,0.2
EWH,7,71,4.43%,40.73%,0.1
DTH,5,78,4.43%,33.53%,0.1
IDLV,12,74,4.42%,9.14%,0.5
RSPT,12,80,4.42%,2.07%,2.1
EWH,12,72,4.41%,19.91%,0.2
FDL,9,84,4.41%,8.96%,0.5
BIV,9,80,4.41%,38.66%,0.1
DHS,15,75,4.41%,6.49%,0.7
BIV,6,86,4.41%,36.30%,0.1
DTH,7,79,4.41%,17.25%,0.3
EWH,6,77,4.41%,41.36%,0.1
BIV,6,92,4.40%,26.07%,0.2
UNL,6,82,4.40%,13.91%,0.3
ZSL,10,84,4.40%,11.52%,0.4
EWH,8,76,4.40%,29.24%,0.2
XMPT,10,87,4.40%,17.30%,0.3
XMPT,11,85,4.40%,17.30%,0.3
DHS,7,86,4.39%,6.43%,0.7
XMPT,13,88,4.39%,14.50%,0.3
DHS,6,88,4.39%,9.15%,0.5
EWH,11,67,4.39%,42.04%,0.1
DHS,4,90,4.39%,12.97%,0.3
EWH,12,75,4.38%,23.47%,0.2
DTH,8,81,4.38%,8.15%,0.5
