Symbol,Days,RSI,AR,MD ,Calmar
USCI,10,66,12.63%,31.21%,0.4
SPTI,6,81,12.61%,27.12%,0.5
TQQQ,15,75,12.59%,18.67%,0.7
SPHD,10,76,12.59%,22.72%,0.6
IOO,8,76,12.59%,19.94%,0.6
SPHD,6,78,12.58%,25.75%,0.5
FDL,15,71,12.57%,25.52%,0.5
IOO,11,74,12.55%,9.43%,1.3
FDL,14,71,12.55%,22.68%,0.6
USCI,15,67,12.54%,28.47%,0.4
IOO,9,70,12.52%,22.67%,0.6
TQQQ,13,77,12.52%,11.19%,1.1
SPHD,11,75,12.51%,20.91%,0.6
TQQQ,8,84,12.50%,6.68%,1.9
SPLV,5,72,12.50%,47.32%,0.3
FDL,11,72,12.50%,25.34%,0.5
SPLV,15,69,12.48%,30.90%,0.4
IOO,7,78,12.47%,17.20%,0.7
DTH,10,69,12.47%,33.37%,0.4
PHDG,15,70,12.47%,22.41%,0.6
TQQQ,8,82,12.42%,13.04%,1
SPHD,8,76,12.41%,25.67%,0.5
IOO,15,66,12.41%,24.65%,0.5
FDL,12,73,12.39%,26.69%,0.5
IOO,5,84,12.39%,13.30%,0.9
SPLV,14,68,12.39%,28.72%,0.4
FXE,13,68,12.38%,21.61%,0.6
PHDG,13,73,12.38%,9.82%,1.3
SPHD,8,75,12.38%,24.17%,0.5
TQQQ,9,79,12.37%,13.04%,0.9
SPLV,15,65,12.35%,47.40%,0.3
TQQQ,12,78,12.35%,11.19%,1.1
USCI,7,69,12.35%,30.38%,0.4
SPLV,10,72,12.33%,25.22%,0.5
RSPT,12,73,12.31%,11.88%,1
FDL,9,74,12.24%,20.14%,0.6
SPLV,6,70,12.23%,49.82%,0.2
SPHD,8,74,12.20%,30.66%,0.4
SPLV,8,67,12.19%,42.99%,0.3
SPLV,9,68,12.17%,35.34%,0.3
FXE,12,68,12.14%,21.61%,0.6
SPTI,7,79,12.13%,28.00%,0.4
IOO,10,69,12.12%,21.91%,0.6
SPLV,7,71,12.12%,41.07%,0.3
IOO,9,76,12.09%,13.36%,0.9
PHDG,10,76,12.06%,11.03%,1.1
SPLV,15,68,12.06%,35.35%,0.3
IOO,8,77,12.03%,16.92%,0.7
FDL,8,77,12.00%,20.14%,0.6
PHDG,14,70,11.95%,33.86%,0.4
SPLV,10,69,11.94%,29.30%,0.4
IOO,3,86,11.94%,30.42%,0.4
SPTI,6,82,11.94%,28.52%,0.4
TQQQ,7,86,11.93%,6.68%,1.8
SPHD,12,75,11.93%,16.07%,0.7
TQQQ,7,87,11.93%,4.51%,2.6
TQQQ,10,82,11.91%,4.51%,2.6
USCI,10,70,11.90%,26.73%,0.4
SPLV,13,70,11.90%,27.67%,0.4
FXE,11,71,11.90%,21.61%,0.6
FDL,7,81,11.90%,20.70%,0.6
SPHD,6,79,11.88%,23.36%,0.5
USCI,8,70,11.88%,33.51%,0.4
SPLV,8,75,11.88%,24.66%,0.5
FXE,11,69,11.87%,21.24%,0.6
RSPT,15,70,11.85%,11.89%,1
FDL,11,73,11.85%,26.69%,0.4
USCI,5,78,11.85%,34.19%,0.3
TQQQ,6,89,11.81%,4.51%,2.6
SPHD,10,72,11.81%,27.45%,0.4
IOO,4,81,11.78%,26.96%,0.4
TQQQ,8,85,11.78%,6.68%,1.8
TQQQ,6,80,11.78%,19.52%,0.6
FDL,13,72,11.77%,26.69%,0.4
TQQQ,6,88,11.76%,6.68%,1.8
RSPT,13,72,11.75%,11.88%,1
PHDG,8,79,11.74%,14.93%,0.8
RSPT,11,74,11.74%,11.09%,1.1
TQQQ,9,83,11.73%,6.68%,1.8
PHDG,8,80,11.71%,11.03%,1.1
SPHD,11,76,11.70%,19.54%,0.6
TQQQ,5,90,11.69%,6.66%,1.8
SPLV,11,65,11.66%,40.13%,0.3
SPHD,10,74,11.64%,27.40%,0.4
IOO,7,80,11.64%,10.63%,1.1
SPTI,5,85,11.64%,24.02%,0.5
RSPT,14,72,11.64%,11.88%,1
SPLV,14,70,11.64%,27.97%,0.4
USCI,13,65,11.63%,38.82%,0.3
TQQQ,8,79,11.62%,17.84%,0.7
SPHD,13,71,11.62%,35.31%,0.3
TQQQ,5,89,11.62%,9.89%,1.2
FXE,12,69,11.61%,21.61%,0.5
RSPT,14,71,11.58%,11.88%,1
IOO,7,79,11.56%,14.18%,0.8
SPLV,14,69,11.55%,27.55%,0.4
TQQQ,7,80,11.54%,17.84%,0.6
FXE,11,70,11.54%,21.61%,0.5
SPLV,13,69,11.54%,26.40%,0.4
SPLV,7,73,11.52%,34.75%,0.3
FDL,12,72,11.52%,22.68%,0.5
SPLV,9,73,11.51%,34.02%,0.3
TQQQ,6,87,11.51%,9.91%,1.2
SPLV,12,69,11.51%,31.19%,0.4
FDL,8,75,11.47%,20.14%,0.6
SPLV,11,70,11.45%,34.08%,0.3
TQQQ,9,78,11.43%,16.19%,0.7
SPHD,6,77,11.43%,23.33%,0.5
IOO,8,78,11.43%,10.90%,1
USCI,9,69,11.42%,32.29%,0.4
PHDG,11,75,11.40%,11.03%,1
FDL,15,68,11.39%,25.61%,0.4
TQQQ,5,79,11.39%,42.59%,0.3
IOO,7,70,11.37%,32.37%,0.4
PHDG,9,78,11.36%,11.03%,1
IOO,10,75,11.35%,11.21%,1
TQQQ,5,81,11.34%,33.82%,0.3
IOO,3,91,11.34%,12.97%,0.9
FXE,10,71,11.34%,21.61%,0.5
FDL,15,70,11.32%,20.14%,0.6
IOO,5,85,11.32%,12.21%,0.9
IOO,13,66,11.32%,36.13%,0.3
TQQQ,8,81,11.30%,13.04%,0.9
TQQQ,7,81,11.29%,17.84%,0.6
FDL,14,72,11.28%,23.58%,0.5
SPLV,11,71,11.28%,34.48%,0.3
IOO,12,68,11.27%,24.85%,0.5
PHDG,10,77,11.26%,11.03%,1
SPLV,14,66,11.25%,41.57%,0.3
TQQQ,8,80,11.25%,16.34%,0.7
USCI,14,66,11.25%,26.42%,0.4
FDL,8,79,11.24%,19.81%,0.6
TQQQ,12,76,11.24%,23.09%,0.5
PHDG,14,72,11.24%,10.12%,1.1
SPLV,7,70,11.23%,42.84%,0.3
SPHD,9,75,11.23%,25.96%,0.4
IOO,10,76,11.22%,10.90%,1
SPLV,10,66,11.22%,41.08%,0.3
IOO,15,71,11.21%,9.43%,1.2
PHDG,12,75,11.21%,9.82%,1.1
SPLV,7,74,11.21%,33.98%,0.3
SPLV,11,72,11.19%,31.39%,0.4
IOO,6,81,11.19%,14.18%,0.8
SPHD,9,73,11.17%,28.66%,0.4
FDL,14,69,11.17%,25.38%,0.4
SPLV,13,68,11.16%,35.77%,0.3
SPTI,8,77,11.16%,27.65%,0.4
FDL,8,76,11.14%,20.14%,0.6
USCI,14,68,11.13%,26.29%,0.4
FXE,10,69,11.13%,24.29%,0.5
SPLV,10,71,11.11%,34.11%,0.3
TQQQ,4,93,11.11%,6.83%,1.6
PHDG,9,79,11.10%,11.03%,1
RSPT,12,74,11.10%,11.28%,1
FDL,11,74,11.08%,24.30%,0.5
TQQQ,5,84,11.08%,21.80%,0.5
SPLV,9,72,11.08%,23.95%,0.5
PHDG,14,73,11.05%,9.82%,1.1
SPLV,9,74,11.04%,30.83%,0.4
IOO,8,79,11.03%,9.76%,1.1
IOO,9,77,11.02%,10.90%,1
FXE,12,70,11.00%,21.61%,0.5
IOO,11,75,10.99%,9.90%,1.1
IOO,13,67,10.98%,24.09%,0.5
SPTI,6,80,10.98%,32.17%,0.3
SPTI,5,83,10.97%,31.69%,0.3
FXE,8,73,10.97%,21.24%,0.5
IOO,4,79,10.97%,35.20%,0.3
PHDG,13,70,10.96%,37.72%,0.3
SPLV,8,65,10.96%,50.79%,0.2
SPHD,9,77,10.95%,20.53%,0.5
USCI,9,71,10.93%,32.07%,0.3
TQQQ,4,87,10.92%,30.23%,0.4
TQQQ,5,91,10.92%,4.51%,2.4
SPLV,9,70,10.92%,32.70%,0.3
GNMA,7,81,10.91%,18.25%,0.6
FDL,12,71,10.90%,25.34%,0.4
RSPT,13,73,10.88%,11.88%,0.9
USCI,5,77,10.88%,38.32%,0.3
SPHD,7,78,10.87%,24.14%,0.5
FDL,13,71,10.87%,25.34%,0.4
SPLV,12,68,10.87%,31.85%,0.3
PHDG,11,76,10.86%,11.03%,1
FXE,14,67,10.86%,21.61%,0.5
SPTI,9,76,10.86%,27.65%,0.4
USCI,11,65,10.85%,41.71%,0.3
SPHD,10,75,10.85%,27.72%,0.4
SPTI,4,88,10.84%,24.02%,0.5
SPHD,7,75,10.84%,27.47%,0.4
IOO,13,73,10.84%,9.43%,1.1
GNMA,6,84,10.83%,16.01%,0.7
IOO,14,72,10.82%,9.43%,1.1
TQQQ,5,83,10.81%,28.25%,0.4
SPLV,9,67,10.81%,41.08%,0.3
FDL,14,70,10.81%,25.34%,0.4
TQQQ,8,78,10.80%,19.97%,0.5
PHDG,15,69,10.79%,36.59%,0.3
GNMA,6,82,10.79%,22.25%,0.5
SPLV,12,67,10.79%,38.62%,0.3
IOO,14,65,10.77%,39.74%,0.3
SPLV,10,67,10.77%,40.66%,0.3
FDL,9,77,10.76%,19.81%,0.5
FDL,9,73,10.75%,25.34%,0.4
TQQQ,9,77,10.75%,23.05%,0.5
IOO,4,78,10.75%,31.54%,0.3
USCI,6,77,10.73%,40.95%,0.3
GNMA,9,79,10.72%,16.01%,0.7
USCI,15,66,10.71%,28.50%,0.4
TQQQ,7,83,10.71%,13.02%,0.8
SPHD,8,77,10.70%,25.24%,0.4
IOO,4,89,10.69%,11.38%,0.9
SPHD,14,70,10.69%,42.05%,0.3
USCI,14,67,10.69%,30.89%,0.3
TQQQ,7,84,10.68%,13.04%,0.8
IOO,9,69,10.68%,24.85%,0.4
IOO,7,81,10.67%,9.62%,1.1
SPLV,5,75,10.66%,43.67%,0.2
PHDG,13,74,10.66%,9.82%,1.1
USCI,12,65,10.65%,40.44%,0.3
TQQQ,10,77,10.65%,17.85%,0.6
SPLV,8,73,10.64%,33.66%,0.3
TQQQ,7,82,10.64%,16.34%,0.7
SPHD,15,73,10.64%,9.72%,1.1
IOO,4,88,10.62%,12.20%,0.9
PHDG,12,72,10.62%,33.83%,0.3
SPHD,9,72,10.62%,27.48%,0.4
SPTI,4,87,10.60%,28.39%,0.4
FDL,14,68,10.60%,32.76%,0.3
IOO,8,68,10.59%,33.83%,0.3
SPLV,11,66,10.55%,44.37%,0.2
TQQQ,3,95,10.55%,16.13%,0.7
FXE,6,75,10.54%,33.71%,0.3
USCI,8,71,10.54%,39.04%,0.3
USCI,5,76,10.52%,40.11%,0.3
FXE,9,70,10.52%,32.87%,0.3
SPLV,11,67,10.45%,44.76%,0.2
GNMA,7,82,10.44%,16.01%,0.7
SPHD,11,72,10.44%,40.60%,0.3
DHS,6,78,10.43%,22.19%,0.5
SPLV,12,71,10.41%,34.80%,0.3
