Days,RSI,Symbol,AR,MD,Source
12,71,AIVI,6.705208032,17.34364242,Does this work? 
12,72,AIVI,6.80532418,12.00349449,Does this work? 
12,73,AIVI,6.293377833,11.37984762,Does this work? 
12,74,AIVI,5.187131384,11.31880099,Does this work? 
12,75,AIVI,5.527362733,9.438003604,Does this work? 
12,76,AIVI,3.100389094,7.288028726,Does this work? 
12,77,AIVI,3.353429198,4.261828866,Does this work? 
12,78,AIVI,2.614804773,4.261828866,Does this work? 
12,79,AIVI,2.198604587,4.295717087,Does this work? 
12,80,AIVI,2.336309693,2.328684262,Does this work? 
12,81,AIVI,1.740375805,4.592095611,Does this work? 
12,82,AIVI,1.487073507,1.796921016,Does this work? 
12,83,AIVI,1.184570702,1.823131801,Does this work? 
12,84,AIVI,1.096230702,1.690893708,Does this work? 
12,85,AIVI,1.215688198,0.431938208,Does this work? 
12,86,AIVI,1.215688198,0.431938208,Does this work? 
12,87,AIVI,1.215688198,0.431938208,Does this work? 
12,88,AIVI,1.215688198,0.431938208,Does this work? 
12,89,AIVI,1.215688198,0.431938208,Does this work? 
12,90,AIVI,1.215688198,0.431938208,Does this work? 
12,91,AIVI,1.215688198,0.431938208,Does this work? 
12,92,AIVI,1.215688198,0.431938208,Does this work? 
12,93,AIVI,1.215688198,0.431938208,Does this work? 
12,94,AIVI,1.215688198,0.431938208,Does this work? 
12,95,AIVI,1.215688198,0.431938208,Does this work? 
11,65,AIVI,1.932771576,48.02471735,Does this work? 
11,66,AIVI,4.707856801,40.65699192,Does this work? 
11,67,AIVI,3.179751554,42.92637213,Does this work? 
11,68,AIVI,5.881134591,27.43101375,Does this work? 
11,69,AIVI,7.003415453,27.82999864,Does this work? 
11,70,AIVI,6.711057041,21.20074771,Does this work? 
11,71,AIVI,6.549817807,21.44299312,Does this work? 
11,72,AIVI,6.014560886,15.73621844,Does this work? 
11,73,AIVI,6.280629912,11.83322967,Does this work? 
11,74,AIVI,6.058337175,10.49725925,Does this work? 
11,75,AIVI,4.961422235,11.3187599,Does this work? 
11,76,AIVI,4.77584496,9.438001646,Does this work? 
11,77,AIVI,4.588986868,7.233974627,Does this work? 
11,78,AIVI,3.328743484,4.261895724,Does this work? 
11,79,AIVI,2.827510694,4.295809225,Does this work? 
11,80,AIVI,2.197993985,4.295809225,Does this work? 
11,81,AIVI,2.238498768,3.622636524,Does this work? 
11,82,AIVI,1.271546152,4.592095611,Does this work? 
11,83,AIVI,1.146504629,2.291194005,Does this work? 
11,84,AIVI,1.184243351,1.823032149,Does this work? 
11,85,AIVI,1.095933875,1.690794056,Does this work? 
11,86,AIVI,1.215352196,0.431938208,Does this work? 
11,87,AIVI,1.215352196,0.431938208,Does this work? 
11,88,AIVI,1.215352196,0.431938208,Does this work? 
11,89,AIVI,1.215352196,0.431938208,Does this work? 
11,90,AIVI,1.215352196,0.431938208,Does this work? 
11,91,AIVI,1.215352196,0.431938208,Does this work? 
11,92,AIVI,1.215352196,0.431938208,Does this work? 
11,93,AIVI,1.215352196,0.431938208,Does this work? 
11,94,AIVI,1.215352196,0.431938208,Does this work? 
11,95,AIVI,1.215352196,0.431938208,Does this work? 
10,65,AIVI,-0.399140365,57.77966131,Does this work? 
10,66,AIVI,2.618465398,49.92197796,Does this work? 
10,67,AIVI,1.790616698,41.9078984,Does this work? 
10,68,AIVI,7.548004968,36.68142607,Does this work? 
10,69,AIVI,6.105737347,32.51252482,Does this work? 
10,70,AIVI,4.778397437,28.91895627,Does this work? 
10,71,AIVI,7.015962658,21.77211413,Does this work? 
10,72,AIVI,7.800048665,18.5241627,Does this work? 
10,73,AIVI,5.734394769,16.22150494,Does this work? 
10,74,AIVI,5.877996034,11.64534322,Does this work? 
10,75,AIVI,5.518048907,11.68548708,Does this work? 
10,76,AIVI,4.313274863,14.27089573,Does this work? 
10,77,AIVI,4.701192414,9.437968681,Does this work? 
10,78,AIVI,5.131043535,6.770728119,Does this work? 
10,79,AIVI,3.505366135,4.295787575,Does this work? 
10,80,AIVI,2.82827877,4.295741027,Does this work? 
10,81,AIVI,2.523000689,2.32863237,Does this work? 
10,82,AIVI,2.239423952,3.622646795,Does this work? 
10,83,AIVI,1.272724601,4.592094533,Does this work? 
10,84,AIVI,1.147713773,2.291094468,Does this work? 
10,85,AIVI,1.100549302,1.632320382,Does this work? 
10,86,AIVI,1.097155402,1.690823663,Does this work? 
10,87,AIVI,1.097155402,1.690823663,Does this work? 
10,88,AIVI,1.216545962,0.431944048,Does this work? 
10,89,AIVI,1.216545962,0.431944048,Does this work? 
10,90,AIVI,1.216545962,0.431944048,Does this work? 
10,91,AIVI,1.216545962,0.431944048,Does this work? 
10,92,AIVI,1.216545962,0.431944048,Does this work? 
10,93,AIVI,1.216545962,0.431944048,Does this work? 
10,94,AIVI,1.216545962,0.431944048,Does this work? 
10,95,AIVI,1.216545962,0.431944048,Does this work? 
9,65,AIVI,-1.416376384,69.35784882,Does this work? 
9,66,AIVI,1.790109683,54.62884145,Does this work? 
9,67,AIVI,0.088443788,50.8025318,Does this work? 
9,68,AIVI,3.496800132,43.44698378,Does this work? 
9,69,AIVI,7.718050855,36.60784919,Does this work? 
9,70,AIVI,4.520812966,39.05045583,Does this work? 
9,71,AIVI,5.524428903,25.56706465,Does this work? 
9,72,AIVI,6.725800172,23.5495383,Does this work? 
9,73,AIVI,7.042196339,18.54620666,Does this work? 
9,74,AIVI,5.563084915,17.41800143,Does this work? 
9,75,AIVI,5.892103483,15.36216546,Does this work? 
9,76,AIVI,6.090410679,10.39705487,Does this work? 
9,77,AIVI,5.420890687,10.39704807,Does this work? 
9,78,AIVI,3.267438946,12.01317125,Does this work? 
9,79,AIVI,4.624258013,8.324312279,Does this work? 
9,80,AIVI,5.436657587,4.295775842,Does this work? 
9,81,AIVI,3.017305761,3.119523043,Does this work? 
9,82,AIVI,2.981579417,2.32863237,Does this work? 
9,83,AIVI,1.780284343,3.466758719,Does this work? 
9,84,AIVI,1.442541195,4.592094533,Does this work? 
9,85,AIVI,1.147713773,2.291094468,Does this work? 
9,86,AIVI,1.036151147,2.127401982,Does this work? 
9,87,AIVI,1.100549302,1.632320382,Does this work? 
9,88,AIVI,1.097155402,1.690823663,Does this work? 
9,89,AIVI,1.097155402,1.690823663,Does this work? 
9,90,AIVI,1.216545962,0.431944048,Does this work? 
9,91,AIVI,1.216545962,0.431944048,Does this work? 
9,92,AIVI,1.216545962,0.431944048,Does this work? 
9,93,AIVI,1.216545962,0.431944048,Does this work? 
9,94,AIVI,1.216545962,0.431944048,Does this work? 
9,95,AIVI,1.216545962,0.431944048,Does this work? 
8,65,AIVI,-4.877727792,74.91994775,Does this work? 
8,66,AIVI,-1.751141143,72.14752693,Does this work? 
8,67,AIVI,-2.123181566,63.64348927,Does this work? 
8,68,AIVI,2.526747308,49.58672104,Does this work? 
8,69,AIVI,3.910422923,43.78651125,Does this work? 
8,70,AIVI,7.639505867,37.03730454,Does this work? 
8,71,AIVI,3.763158023,40.77197668,Does this work? 
8,72,AIVI,3.754545155,35.75063553,Does this work? 
8,73,AIVI,5.710381346,30.99670857,Does this work? 
8,74,AIVI,7.313274321,20.48355739,Does this work? 
8,75,AIVI,7.415131165,17.41796993,Does this work? 
8,76,AIVI,5.877238303,17.4179769,Does this work? 
8,77,AIVI,5.423462876,11.91234747,Does this work? 
8,78,AIVI,4.805313436,11.91235114,Does this work? 
8,79,AIVI,4.38520109,12.38949515,Does this work? 
8,80,AIVI,3.742663514,15.16678609,Does this work? 
8,81,AIVI,4.411728974,10.15335948,Does this work? 
8,82,AIVI,3.207354819,4.702159085,Does this work? 
8,83,AIVI,2.526371245,2.328670945,Does this work? 
8,84,AIVI,1.650080471,6.052319561,Does this work? 
8,85,AIVI,1.39961624,2.291094468,Does this work? 
8,86,AIVI,1.141145165,2.259076378,Does this work? 
8,87,AIVI,1.052894684,2.127401982,Does this work? 
8,88,AIVI,1.036151147,2.127401982,Does this work? 
8,89,AIVI,1.100549302,1.632320382,Does this work? 
8,90,AIVI,1.097155402,1.690823663,Does this work? 
8,91,AIVI,1.097155402,1.690823663,Does this work? 
8,92,AIVI,1.216545962,0.431944048,Does this work? 
8,93,AIVI,1.216545962,0.431944048,Does this work? 
8,94,AIVI,1.216545962,0.431944048,Does this work? 
8,95,AIVI,1.216545962,0.431944048,Does this work? 
7,65,AIVI,-9.045453079,83.92533988,Does this work? 
7,66,AIVI,-4.297124949,76.48928271,Does this work? 
7,67,AIVI,-4.579168027,73.57375037,Does this work? 
7,68,AIVI,-2.181039326,65.88084629,Does this work? 
7,69,AIVI,0.601662673,59.09912221,Does this work? 
7,70,AIVI,4.736106309,46.31996582,Does this work? 
7,71,AIVI,2.869974294,43.05704991,Does this work? 
7,72,AIVI,4.329488414,44.73631787,Does this work? 
7,73,AIVI,5.635209415,39.20255684,Does this work? 
7,74,AIVI,6.030810542,32.88379117,Does this work? 
7,75,AIVI,4.43267996,30.10215914,Does this work? 
7,76,AIVI,5.753147067,21.99389798,Does this work? 
7,77,AIVI,6.945625219,19.22145691,Does this work? 
7,78,AIVI,6.921879175,15.87884832,Does this work? 
7,79,AIVI,4.943126637,13.68813946,Does this work? 
7,80,AIVI,4.484633075,13.80788318,Does this work? 
7,81,AIVI,3.425929343,12.46747324,Does this work? 
7,82,AIVI,4.964533237,14.119101,Does this work? 
7,83,AIVI,3.789526699,10.6340957,Does this work? 
7,84,AIVI,1.504656882,6.996671611,Does this work? 
7,85,AIVI,1.666307979,5.719321065,Does this work? 
7,86,AIVI,1.704494932,2.111622928,Does this work? 
7,87,AIVI,1.116518291,2.259076378,Does this work? 
7,88,AIVI,1.13497519,2.127401982,Does this work? 
7,89,AIVI,1.052894684,2.127401982,Does this work? 
7,90,AIVI,1.036151147,2.127401982,Does this work? 
7,91,AIVI,1.100549302,1.632320382,Does this work? 
7,92,AIVI,1.097155402,1.690823663,Does this work? 
7,93,AIVI,1.097155402,1.690823663,Does this work? 
7,94,AIVI,1.216545962,0.431944048,Does this work? 
7,95,AIVI,1.216545962,0.431944048,Does this work? 
6,65,AIVI,-9.430314837,82.26869473,Does this work? 
6,66,AIVI,-7.868751202,84.13418186,Does this work? 
6,67,AIVI,-7.15060367,84.0225224,Does this work? 
6,68,AIVI,-4.766962409,79.48251335,Does this work? 
6,69,AIVI,-1.42752834,71.96972965,Does this work? 
6,70,AIVI,-1.780419483,71.42051642,Does this work? 
6,71,AIVI,-3.375895567,70.99390848,Does this work? 
6,72,AIVI,0.5372705,52.91365482,Does this work? 
6,73,AIVI,2.087876346,46.95841272,Does this work? 
6,74,AIVI,2.475610905,45.21089858,Does this work? 
6,75,AIVI,5.362874399,37.6432469,Does this work? 
6,76,AIVI,5.417633411,37.13260106,Does this work? 
6,77,AIVI,4.641832741,30.5673772,Does this work? 
6,78,AIVI,4.870235443,24.49928838,Does this work? 
6,79,AIVI,4.615306717,23.96323698,Does this work? 
6,80,AIVI,6.871469501,19.06147277,Does this work? 
6,81,AIVI,6.600493449,20.80315209,Does this work? 
6,82,AIVI,5.590756276,14.83268731,Does this work? 
6,83,AIVI,2.552690454,17.26435391,Does this work? 
6,84,AIVI,3.583237054,20.0517379,Does this work? 
