Lookback (days),RSIs,symbol,AR (%),sharpe_ratio,MD ,calmer_ratio
14,75,SPHD,5.63%,0.6,14.34%,0.4
15,67,RSPT,5.63%,0.4,48.22%,0.1
11,72,FXE,5.63%,0.4,20.72%,0.3
9,81,DHS,5.62%,0.8,9.15%,0.6
12,79,GNMA,5.62%,0.4,22.43%,0.3
15,74,RSPT,5.62%,0.8,7.54%,0.7
12,68,IDLV,5.62%,0.4,28.28%,0.2
12,73,EWH,5.61%,0.5,15.77%,0.4
14,69,UNL,5.61%,0.4,36.99%,0.2
6,80,IDLV,5.61%,0.5,13.99%,0.4
5,77,TQQQ,5.61%,0.4,60.37%,0.1
6,83,SPHD,5.60%,0.5,15.73%,0.4
13,78,IOO,5.60%,0.8,4.26%,1.3
11,75,DHS,5.60%,0.6,22.41%,0.2
9,76,SPLV,5.60%,0.5,24.76%,0.2
7,77,IDLV,5.59%,0.5,16.54%,0.3
12,78,SPLV,5.59%,0.6,10.97%,0.5
10,67,PHDG,5.58%,0.3,41.84%,0.1
14,79,RINF,5.58%,0.5,13.46%,0.4
4,92,FDL,5.58%,0.7,8.96%,0.6
15,68,RSPT,5.58%,0.4,26.06%,0.2
15,76,SPHD,5.58%,0.7,4.48%,1.2
11,79,USCI,5.58%,0.5,16.10%,0.3
6,82,USCI,5.58%,0.4,14.98%,0.4
13,76,GNMA,5.58%,0.4,28.51%,0.2
14,74,RINF,5.58%,0.4,23.61%,0.2
13,75,RINF,5.57%,0.4,23.61%,0.2
9,71,FDL,5.57%,0.4,48.60%,0.1
10,80,RINF,5.57%,0.4,22.50%,0.2
7,78,SPLV,5.56%,0.5,27.81%,0.2
8,75,IDLV,5.56%,0.5,19.31%,0.3
5,78,DHS,5.56%,0.4,32.95%,0.2
9,72,FDL,5.56%,0.4,46.78%,0.1
14,84,XMPT,5.56%,0.5,17.30%,0.3
15,65,TQQQ,5.56%,0.3,61.63%,0.1
6,86,DHS,5.55%,0.8,9.15%,0.6
6,85,DHS,5.55%,0.7,9.82%,0.6
12,70,EWH,5.55%,0.4,22.14%,0.3
6,78,FXE,5.55%,0.4,29.24%,0.2
8,76,FXE,5.55%,0.4,27.87%,0.2
4,78,FXE,5.55%,0.3,42.27%,0.1
7,74,FDL,5.55%,0.4,33.19%,0.2
15,84,XMPT,5.55%,0.5,17.30%,0.3
9,73,IDLV,5.54%,0.5,20.23%,0.3
6,75,TQQQ,5.54%,0.4,63.75%,0.1
10,81,PHDG,5.54%,0.7,9.81%,0.6
13,65,DHS,5.54%,0.3,68.91%,0.1
15,74,GNMA,5.54%,0.4,28.90%,0.2
14,75,GNMA,5.53%,0.4,28.90%,0.2
8,74,GNMA,5.53%,0.3,36.37%,0.2
9,75,UNL,5.53%,0.5,16.42%,0.3
3,89,FXE,5.52%,0.4,30.81%,0.2
12,67,FDL,5.51%,0.3,60.94%,0.1
8,78,USCI,5.51%,0.4,18.27%,0.3
5,77,SPLV,5.51%,0.3,43.36%,0.1
11,79,PHDG,5.51%,0.7,9.81%,0.6
13,69,SPHD,5.50%,0.3,46.97%,0.1
5,90,FDL,5.50%,0.7,8.96%,0.6
13,78,PHDG,5.50%,0.7,9.81%,0.6
14,76,GNMA,5.50%,0.4,24.50%,0.2
12,78,RINF,5.50%,0.4,24.01%,0.2
12,73,USCI,5.50%,0.4,28.09%,0.2
11,77,SPLV,5.49%,0.6,13.34%,0.4
7,72,EWH,5.49%,0.4,31.86%,0.2
13,73,EWH,5.49%,0.5,24.47%,0.2
8,82,SPTI,5.49%,0.4,45.61%,0.1
15,71,SPTI,5.49%,0.3,41.73%,0.1
10,80,SPTI,5.49%,0.4,42.84%,0.1
4,91,GNMA,5.49%,0.4,27.43%,0.2
12,74,DTH,5.48%,0.7,12.16%,0.5
8,71,EWH,5.48%,0.4,35.03%,0.2
13,73,GNMA,5.48%,0.4,33.29%,0.2
7,84,SPHD,5.47%,0.6,10.28%,0.5
7,68,EWH,5.47%,0.3,48.55%,0.1
8,89,TQQQ,5.47%,0.8,2.80%,2.0
15,72,EWH,5.47%,0.5,20.92%,0.3
15,73,DHS,5.47%,0.8,9.15%,0.6
7,78,USCI,5.45%,0.4,30.27%,0.2
13,84,XMPT,5.45%,0.5,17.30%,0.3
10,67,TQQQ,5.45%,0.3,71.45%,0.1
4,86,FDL,5.45%,0.4,27.12%,0.2
7,86,PHDG,5.45%,0.9,11.20%,0.5
5,78,SPHD,5.45%,0.3,46.75%,0.1
6,71,EWH,5.44%,0.3,42.63%,0.1
12,77,RINF,5.44%,0.4,24.61%,0.2
11,78,RINF,5.43%,0.4,23.27%,0.2
6,80,USCI,5.43%,0.4,26.64%,0.2
10,75,USCI,5.43%,0.4,25.09%,0.2
9,76,DTH,5.43%,0.6,19.91%,0.3
9,74,TQQQ,5.43%,0.4,46.09%,0.1
6,75,DHS,5.43%,0.4,33.22%,0.2
9,80,USCI,5.43%,0.5,14.96%,0.4
6,73,FXE,5.43%,0.3,46.42%,0.1
14,83,XMPT,5.42%,0.5,17.30%,0.3
7,81,DHS,5.42%,0.6,11.16%,0.5
2,93,IOO,5.42%,0.4,38.79%,0.1
4,85,DTH,5.42%,0.4,27.58%,0.2
6,80,EWH,5.42%,0.5,31.88%,0.2
11,68,RSPT,5.42%,0.3,36.57%,0.1
6,81,DHS,5.42%,0.4,33.57%,0.2
10,70,DTH,5.42%,0.4,31.78%,0.2
8,81,SPLV,5.41%,0.6,16.17%,0.3
9,83,IOO,5.41%,0.8,4.30%,1.3
4,91,DHS,5.41%,0.7,9.51%,0.6
15,73,RINF,5.41%,0.4,25.23%,0.2
12,78,SPHD,5.41%,0.7,5.15%,1.1
8,85,FDL,5.40%,0.9,8.96%,0.6
12,69,TQQQ,5.40%,0.4,48.61%,0.1
6,78,BIV,5.40%,0.3,55.66%,0.1
8,84,PHDG,5.39%,0.9,10.00%,0.5
8,83,DHS,5.39%,0.9,9.15%,0.6
6,88,PHDG,5.39%,0.9,11.20%,0.5
9,79,SPLV,5.39%,0.5,15.93%,0.3
14,68,TQQQ,5.38%,0.4,54.15%,0.1
5,87,SPHD,5.38%,0.6,10.96%,0.5
7,79,EWH,5.38%,0.5,28.15%,0.2
6,87,SPTI,5.37%,0.4,31.86%,0.2
12,79,PHDG,5.37%,0.7,9.81%,0.5
3,87,FXE,5.37%,0.3,33.37%,0.2
9,78,SPLV,5.37%,0.5,19.89%,0.3
6,70,DHS,5.37%,0.3,65.76%,0.1
10,82,IOO,5.37%,0.8,4.30%,1.2
3,84,SPLV,5.37%,0.3,41.90%,0.1
5,74,FXE,5.37%,0.3,49.25%,0.1
3,91,BIV,5.37%,0.3,48.15%,0.1
7,83,DHS,5.37%,0.7,9.82%,0.5
7,82,IDLV,5.37%,0.7,3.74%,1.4
7,81,USCI,5.37%,0.4,14.34%,0.4
8,74,TQQQ,5.36%,0.4,48.53%,0.1
7,79,UNL,5.36%,0.5,15.80%,0.3
6,88,FDL,5.36%,0.8,8.96%,0.6
8,79,FXE,5.36%,0.4,23.30%,0.2
14,68,RSPT,5.36%,0.4,36.58%,0.1
9,79,BIV,5.36%,0.3,39.51%,0.1
6,68,USCI,5.35%,0.3,44.68%,0.1
7,78,FXE,5.35%,0.4,28.13%,0.2
11,70,TQQQ,5.34%,0.4,50.19%,0.1
8,80,IDLV,5.34%,0.8,4.30%,1.2
14,73,DTH,5.34%,0.7,9.40%,0.6
7,75,TQQQ,5.34%,0.4,54.03%,0.1
11,84,TQQQ,5.34%,0.8,2.80%,1.9
9,69,DHS,5.33%,0.3,51.34%,0.1
11,72,USCI,5.33%,0.4,23.99%,0.2
11,79,RINF,5.33%,0.4,24.61%,0.2
10,72,EWH,5.32%,0.4,24.50%,0.2
14,72,USCI,5.32%,0.4,21.30%,0.2
15,71,IDLV,5.32%,0.7,6.38%,0.8
11,78,SPHD,5.31%,0.7,9.24%,0.6
5,92,PHDG,5.31%,1.1,2.28%,2.3
11,71,RSPT,5.31%,0.4,29.87%,0.2
10,68,EWH,5.31%,0.3,43.40%,0.1
7,86,GNMA,5.31%,0.4,23.25%,0.2
6,87,RSPT,5.31%,0.9,6.39%,0.8
6,80,RSPT,5.31%,0.5,28.44%,0.2
13,73,USCI,5.30%,0.4,23.19%,0.2
7,66,EWH,5.30%,0.3,44.23%,0.1
10,77,USCI,5.30%,0.4,25.11%,0.2
7,77,GNMA,5.29%,0.3,31.47%,0.2
8,75,RSPT,5.29%,0.4,36.66%,0.1
4,88,BIV,5.29%,0.3,50.80%,0.1
11,88,XMPT,5.29%,0.6,13.40%,0.4
15,77,RINF,5.29%,0.5,16.33%,0.3
14,78,RINF,5.29%,0.5,16.33%,0.3
13,80,RINF,5.29%,0.5,16.33%,0.3
3,82,SPLV,5.29%,0.3,45.26%,0.1
15,77,PHDG,5.29%,0.7,9.80%,0.5
5,90,IOO,5.29%,0.7,4.36%,1.2
7,79,FXE,5.29%,0.4,25.65%,0.2
11,73,FXE,5.28%,0.4,23.29%,0.2
8,65,USCI,5.28%,0.3,57.57%,0.1
12,72,USCI,5.28%,0.4,23.99%,0.2
14,68,EWH,5.28%,0.4,26.99%,0.2
15,73,GNMA,5.28%,0.4,25.42%,0.2
11,80,SPHD,5.28%,0.7,5.02%,1.1
5,74,EWH,5.27%,0.3,49.51%,0.1
4,86,SPHD,5.27%,0.5,25.83%,0.2
12,66,PHDG,5.26%,0.3,40.14%,0.1
8,68,EWH,5.26%,0.3,48.71%,0.1
14,71,BIV,5.26%,0.3,50.00%,0.1
3,94,GNMA,5.26%,0.4,27.02%,0.2
4,71,SPLV,5.25%,0.3,65.95%,0.1
12,83,TQQQ,5.24%,0.8,2.80%,1.9
11,78,DTH,5.24%,0.9,4.26%,1.2
9,65,EWH,5.24%,0.3,40.36%,0.1
14,65,IDLV,5.24%,0.3,47.34%,0.1
5,79,DTH,5.24%,0.4,31.53%,0.2
10,75,UNL,5.23%,0.5,13.77%,0.4
14,70,UNL,5.23%,0.4,23.73%,0.2
14,70,SPTI,5.23%,0.3,44.54%,0.1
5,93,TQQQ,5.23%,1.0,3.02%,1.7
5,89,DHS,5.22%,0.7,9.15%,0.6
3,95,DHS,5.22%,0.7,10.13%,0.5
11,66,EWH,5.22%,0.3,36.18%,0.1
6,68,EWH,5.22%,0.3,47.46%,0.1
6,90,PHDG,5.21%,1.0,2.28%,2.3
10,81,SPHD,5.21%,0.7,5.02%,1.0
13,67,DHS,5.21%,0.3,44.18%,0.1
8,74,EWH,5.21%,0.4,30.63%,0.2
7,82,SPLV,5.21%,0.5,17.55%,0.3
7,86,RSPT,5.20%,1.0,3.78%,1.4
4,86,DTH,5.20%,0.5,24.67%,0.2
3,95,SPLV,5.20%,0.6,10.68%,0.5
8,85,GNMA,5.19%,0.4,21.25%,0.2
4,84,GNMA,5.19%,0.3,43.13%,0.1
5,85,IDLV,5.19%,0.7,8.67%,0.6
4,95,PHDG,5.19%,1.1,1.59%,3.3
9,72,IDLV,5.19%,0.4,28.70%,0.2
9,83,FDL,5.19%,0.8,8.96%,0.6
15,75,USCI,5.19%,0.5,18.02%,0.3
11,68,DHS,5.19%,0.3,49.71%,0.1
14,73,RINF,5.19%,0.4,25.23%,0.2
9,73,GNMA,5.19%,0.3,36.37%,0.1
9,83,RSPT,5.18%,1.0,3.48%,1.5
6,83,FXE,5.18%,0.4,23.30%,0.2
5,87,DHS,5.17%,0.6,10.57%,0.5
4,84,DTH,5.17%,0.4,24.87%,0.2
8,75,GNMA,5.17%,0.3,34.37%,0.2
9,81,SPHD,5.16%,0.7,9.25%,0.6
13,82,TQQQ,5.16%,0.8,2.80%,1.8
5,83,DHS,5.16%,0.4,26.18%,0.2
7,77,USCI,5.16%,0.4,34.82%,0.1
3,83,IOO,5.16%,0.3,45.73%,0.1
11,76,RINF,5.15%,0.4,23.68%,0.2
12,75,RINF,5.15%,0.4,23.68%,0.2
10,76,USCI,5.15%,0.4,25.79%,0.2
10,79,EWH,5.15%,0.6,20.46%,0.3
8,67,PHDG,5.15%,0.3,56.26%,0.1
11,74,EWH,5.14%,0.5,19.91%,0.3
7,87,RSPT,5.14%,1.0,3.48%,1.5
8,85,RSPT,5.14%,1.0,3.48%,1.5
12,84,XMPT,5.14%,0.5,17.30%,0.3
11,73,USCI,5.13%,0.4,28.09%,0.2
7,78,IDLV,5.13%,0.5,14.38%,0.4
11,74,BIV,5.12%,0.3,40.24%,0.1
8,76,USCI,5.12%,0.4,30.09%,0.2
12,72,FXE,5.12%,0.4,23.29%,0.2
13,81,BIV,5.12%,0.4,23.41%,0.2
15,75,GNMA,5.12%,0.4,29.43%,0.2
12,87,XMPT,5.11%,0.5,14.23%,0.4
5,81,RSPT,5.11%,0.4,41.09%,0.1
12,67,DHS,5.11%,0.3,52.63%,0.1
7,81,FXE,5.11%,0.4,23.30%,0.2
10,77,DHS,5.11%,0.6,20.51%,0.2
8,85,PHDG,5.11%,0.8,9.99%,0.5
10,72,BIV,5.11%,0.3,57.63%,0.1
5,72,IOO,5.11%,0.3,56.30%,0.1
4,86,FXE,5.11%,0.4,29.01%,0.2
12,69,DHS,5.11%,0.4,38.37%,0.1
9,75,FXE,5.11%,0.4,23.29%,0.2
4,85,DHS,5.10%,0.4,36.93%,0.1
7,66,USCI,5.10%,0.3,42.94%,0.1
10,85,BIV,5.10%,0.4,21.92%,0.2
15,75,SPHD,5.10%,0.6,6.31%,0.8
4,86,SPLV,5.10%,0.4,22.58%,0.2
12,76,RINF,5.09%,0.4,23.42%,0.2
3,91,SPTI,5.09%,0.3,38.84%,0.1
8,79,DHS,5.09%,0.6,15.88%,0.3
12,76,SPLV,5.08%,0.5,13.34%,0.4
12,83,BIV,5.08%,0.4,23.72%,0.2
10,69,PHDG,5.08%,0.3,43.69%,0.1
13,86,XMPT,5.08%,0.5,17.30%,0.3
4,89,SPHD,5.08%,0.5,17.73%,0.3
8,77,SPLV,5.08%,0.4,28.39%,0.2
14,86,XMPT,5.08%,0.5,14.23%,0.4
5,65,SPLV,5.08%,0.3,75.10%,0.1
14,76,FDL,5.07%,0.7,8.96%,0.6
8,82,DHS,5.07%,0.7,9.15%,0.6
7,78,EWH,5.06%,0.4,29.26%,0.2
4,90,RSPT,5.06%,0.6,19.40%,0.3
5,90,GNMA,5.06%,0.4,16.91%,0.3
4,89,RSPT,5.06%,0.5,24.19%,0.2
10,81,RSPT,5.06%,1.0,3.78%,1.3
11,71,UNL,5.05%,0.4,32.08%,0.2
4,82,SPLV,5.05%,0.3,39.50%,0.1
7,73,FDL,5.05%,0.3,35.78%,0.1
4,85,SPTI,5.04%,0.3,56.51%,0.1
10,73,USCI,5.04%,0.3,28.09%,0.2
12,73,FXE,5.04%,0.4,23.00%,0.2
5,80,EWH,5.04%,0.4,40.86%,0.1
13,68,IDLV,5.04%,0.4,28.24%,0.2
12,86,XMPT,5.03%,0.5,17.30%,0.3
13,68,RSPT,5.03%,0.4,41.23%,0.1
15,73,DTH,5.03%,0.8,7.60%,0.7
11,81,RINF,5.02%,0.4,19.39%,0.3
12,80,RINF,5.02%,0.4,19.39%,0.3
5,75,DHS,5.02%,0.3,38.11%,0.1
13,70,SPTI,5.02%,0.3,47.91%,0.1
14,72,IDLV,5.02%,0.7,6.38%,0.8
10,80,SPHD,5.02%,0.7,8.17%,0.6
7,75,PHDG,5.02%,0.4,38.26%,0.1
4,85,FXE,5.01%,0.3,32.18%,0.2
8,72,PHDG,5.01%,0.3,45.34%,0.1
3,80,SPLV,5.00%,0.3,55.49%,0.1
13,83,TQQQ,5.00%,0.8,0.91%,5.5
6,83,DHS,5.00%,0.5,11.45%,0.4
7,83,SPLV,5.00%,0.5,14.98%,0.3
10,86,TQQQ,5.00%,0.8,2.80%,1.8
14,71,FXE,4.99%,0.4,18.81%,0.3
4,81,DHS,4.99%,0.3,32.95%,0.2
7,76,SPTI,4.99%,0.3,45.82%,0.1
13,78,SPLV,4.99%,0.6,9.47%,0.5
11,80,PHDG,4.99%,0.7,9.81%,0.5
8,78,SPLV,4.99%,0.4,29.61%,0.2
4,82,EWH,4.98%,0.3,37.80%,0.1
12,65,DHS,4.98%,0.3,67.04%,0.1
4,82,USCI,4.97%,0.3,38.90%,0.1
4,82,GNMA,4.97%,0.3,50.69%,0.1
9,70,EWH,4.97%,0.3,37.70%,0.1
7,88,PHDG,4.97%,1.0,2.28%,2.2
2,95,TQQQ,4.97%,0.3,47.48%,0.1
4,85,RSPT,4.97%,0.4,29.96%,0.2
4,84,SPTI,4.97%,0.3,59.75%,0.1
4,80,DHS,4.97%,0.3,33.31%,0.1
10,88,XMPT,4.97%,0.5,14.23%,0.3
15,72,GNMA,4.97%,0.3,36.06%,0.1
12,68,GNMA,4.96%,0.3,43.39%,0.1
4,91,PHDG,4.96%,0.5,20.87%,0.2
12,79,SPHD,4.96%,0.7,5.15%,1.0
6,74,FDL,4.96%,0.3,44.01%,0.1
4,79,EWH,4.96%,0.3,40.67%,0.1
10,67,DTH,4.95%,0.3,45.64%,0.1
6,86,SPHD,4.95%,0.6,10.27%,0.5
5,87,RSPT,4.95%,0.6,17.75%,0.3
11,77,USCI,4.95%,0.4,18.73%,0.3
13,76,DHS,4.95%,0.8,9.21%,0.5
4,93,FDL,4.95%,0.7,8.96%,0.6
14,65,FDL,4.95%,0.3,69.08%,0.1
6,89,RSPT,4.95%,1.0,3.81%,1.3
6,79,FXE,4.94%,0.4,28.49%,0.2
14,78,PHDG,4.94%,0.7,9.80%,0.5
5,89,SPHD,4.94%,0.6,11.15%,0.4
5,77,SPHD,4.93%,0.3,52.47%,0.1
9,84,PHDG,4.93%,0.8,9.99%,0.5
9,78,DTH,4.93%,0.7,12.15%,0.4
8,79,BIV,4.93%,0.3,47.53%,0.1
7,87,FDL,4.93%,0.8,8.96%,0.5
5,90,DHS,4.93%,0.7,9.15%,0.5
9,69,PHDG,4.93%,0.3,46.74%,0.1
10,72,USCI,4.92%,0.3,28.35%,0.2
6,88,RSPT,4.92%,0.9,4.65%,1.1
3,95,PHDG,4.91%,0.6,20.87%,0.2
6,84,FXE,4.90%,0.4,19.74%,0.2
12,73,GNMA,4.90%,0.3,33.31%,0.1
13,87,XMPT,4.90%,0.5,14.23%,0.3
15,68,UNL,4.89%,0.4,35.80%,0.1
4,90,GNMA,4.89%,0.3,32.69%,0.1
10,72,IDLV,4.89%,0.4,18.18%,0.3
10,70,SPHD,4.89%,0.3,51.15%,0.1
12,84,TQQQ,4.89%,0.8,1.85%,2.6
4,83,SPHD,4.89%,0.3,33.58%,0.1
11,85,TQQQ,4.89%,0.8,1.85%,2.6
10,72,UNL,4.89%,0.4,35.60%,0.1
9,81,SPTI,4.89%,0.3,45.61%,0.1
12,83,XMPT,4.88%,0.5,17.30%,0.3
15,69,SPTI,4.88%,0.3,50.64%,0.1
15,86,XMPT,4.88%,0.5,13.40%,0.4
15,67,IDLV,4.88%,0.4,35.37%,0.1
7,71,DTH,4.88%,0.3,43.35%,0.1
11,79,SPTI,4.88%,0.3,42.95%,0.1
3,81,SPLV,4.87%,0.3,48.44%,0.1
6,86,SPTI,4.87%,0.3,34.66%,0.1
3,88,DHS,4.87%,0.4,38.34%,0.1
11,66,DTH,4.87%,0.3,40.91%,0.1
10,79,DTH,4.87%,0.8,5.02%,1.0
12,88,XMPT,4.87%,0.5,14.52%,0.3
10,82,FDL,4.87%,0.8,8.96%,0.5
5,88,SPHD,4.86%,0.5,9.98%,0.5
6,79,IDLV,4.86%,0.5,15.35%,0.3
8,77,DTH,4.86%,0.5,22.74%,0.2
10,75,FXE,4.86%,0.4,27.86%,0.2
4,90,SPHD,4.86%,0.5,17.86%,0.3
5,81,IDLV,4.86%,0.4,17.04%,0.3
14,75,USCI,4.85%,0.4,25.11%,0.2
9,86,BIV,4.85%,0.4,24.53%,0.2
14,78,IOO,4.85%,0.7,4.26%,1.1
13,74,RINF,4.85%,0.4,26.60%,0.2
13,77,SPTI,4.85%,0.3,40.62%,0.1
3,93,USCI,4.85%,0.4,21.38%,0.2
15,77,IOO,4.84%,0.7,4.26%,1.1
7,70,PHDG,4.84%,0.3,58.48%,0.1
5,80,GNMA,4.84%,0.3,43.39%,0.1
10,70,IDLV,4.84%,0.3,38.92%,0.1
10,66,DHS,4.83%,0.3,57.23%,0.1
8,80,DTH,4.82%,0.7,9.88%,0.5
9,82,SPTI,4.82%,0.3,40.26%,0.1
13,79,RINF,4.82%,0.4,20.47%,0.2
10,83,IOO,4.81%,0.7,2.33%,2.1
13,85,XMPT,4.81%,0.5,17.30%,0.3
5,79,EWH,4.81%,0.3,40.94%,0.1
11,80,RINF,4.81%,0.4,19.39%,0.2
12,79,RINF,4.81%,0.4,19.39%,0.2
15,85,XMPT,4.80%,0.5,17.30%,0.3
5,92,FDL,4.80%,0.8,8.96%,0.5
15,74,SPHD,4.80%,0.5,14.97%,0.3
12,79,SPLV,4.80%,0.6,9.47%,0.5
13,66,FDL,4.80%,0.3,65.84%,0.1
5,76,FDL,4.80%,0.3,42.89%,0.1
11,84,BIV,4.79%,0.4,25.14%,0.2
15,78,RINF,4.79%,0.4,16.79%,0.3
11,75,USCI,4.79%,0.4,25.11%,0.2
6,81,IDLV,4.79%,0.5,15.77%,0.3
3,93,FDL,4.79%,0.4,25.67%,0.2
11,67,IDLV,4.79%,0.3,45.25%,0.1
13,83,XMPT,4.79%,0.5,17.48%,0.3
7,69,EWH,4.78%,0.3,43.30%,0.1
15,70,TQQQ,4.78%,0.4,32.38%,0.1
10,68,IDLV,4.78%,0.3,35.82%,0.1
14,77,RSPT,4.78%,1.0,2.07%,2.3
13,78,RSPT,4.78%,1.0,2.07%,2.3
11,79,SPLV,4.78%,0.6,11.97%,0.4
8,84,FDL,4.78%,0.7,8.96%,0.5
10,79,RINF,4.78%,0.4,24.68%,0.2
3,95,FDL,4.78%,0.6,9.53%,0.5
11,77,RINF,4.77%,0.4,23.49%,0.2
15,75,SPTI,4.77%,0.3,46.82%,0.1
7,78,UNL,4.77%,0.4,19.02%,0.3
12,77,DHS,4.77%,0.8,9.21%,0.5
11,72,UNL,4.76%,0.4,27.14%,0.2
7,82,DTH,4.76%,0.6,9.21%,0.5
14,75,DHS,4.76%,0.8,9.21%,0.5
6,84,DHS,4.76%,0.6,9.50%,0.5
15,75,FDL,4.76%,0.7,9.08%,0.5
13,78,RINF,4.75%,0.4,19.99%,0.2
8,80,SPLV,4.75%,0.5,17.52%,0.3
5,77,EWH,4.75%,0.3,35.23%,0.1
15,77,SPLV,4.75%,0.6,4.48%,1.1
9,84,IOO,4.75%,0.7,2.33%,2.0
5,81,EWH,4.75%,0.4,31.63%,0.2
12,77,DTH,4.75%,0.8,4.26%,1.1
3,90,BIV,4.74%,0.3,55.11%,0.1
6,80,FXE,4.74%,0.3,29.25%,0.2
11,76,SPLV,4.74%,0.5,16.71%,0.3
4,84,DHS,4.74%,0.4,32.87%,0.1
6,84,SPLV,4.74%,0.5,22.28%,0.2
8,82,USCI,4.74%,0.4,14.78%,0.3
14,85,XMPT,4.74%,0.5,17.30%,0.3
15,76,RSPT,4.74%,1.0,2.07%,2.3
7,76,GNMA,4.74%,0.3,35.48%,0.1
6,67,USCI,4.73%,0.3,57.12%,0.1
4,94,FDL,4.73%,0.8,8.96%,0.5
11,76,EWH,4.73%,0.5,26.11%,0.2
5,76,DHS,4.73%,0.3,39.92%,0.1
4,90,PHDG,4.73%,0.5,22.08%,0.2
9,77,USCI,4.73%,0.4,25.11%,0.2
11,86,XMPT,4.72%,0.5,17.30%,0.3
8,79,USCI,4.72%,0.4,18.27%,0.3
10,89,XMPT,4.72%,0.5,14.50%,0.3
9,75,USCI,4.72%,0.3,25.09%,0.2
9,66,TQQQ,4.72%,0.3,73.85%,0.1
9,77,UNL,4.71%,0.5,12.26%,0.4
12,81,IOO,4.71%,0.7,4.30%,1.1
8,70,EWH,4.71%,0.3,39.35%,0.1
6,85,SPHD,4.71%,0.5,12.07%,0.4
3,93,DHS,4.71%,0.5,16.06%,0.3
8,86,PHDG,4.71%,1.0,2.28%,2.1
7,80,FXE,4.70%,0.4,25.66%,0.2
3,83,SPLV,4.70%,0.3,40.29%,0.1
6,87,DHS,4.70%,0.7,9.15%,0.5
8,77,EWH,4.70%,0.4,29.26%,0.2
9,68,EWH,4.70%,0.3,46.09%,0.1
9,74,USCI,4.70%,0.3,35.79%,0.1
13,65,DTH,4.70%,0.3,41.31%,0.1
6,84,DTH,4.70%,0.6,12.47%,0.4
12,79,RSPT,4.69%,1.0,2.07%,2.3
8,73,EWH,4.69%,0.4,31.72%,0.1
4,93,DHS,4.69%,0.7,6.64%,0.7
5,94,TQQQ,4.69%,0.9,2.76%,1.7
15,77,SPHD,4.69%,0.7,2.30%,2.0
9,70,TQQQ,4.69%,0.3,62.64%,0.1
4,80,SPLV,4.69%,0.3,46.74%,0.1
5,91,FDL,4.69%,0.8,8.96%,0.5
15,70,GNMA,4.68%,0.3,41.48%,0.1
9,85,PHDG,4.68%,0.9,2.61%,1.8
6,79,EWH,4.68%,0.4,30.14%,0.2
4,88,SPHD,4.68%,0.5,22.88%,0.2
12,85,XMPT,4.68%,0.5,17.30%,0.3
10,77,SPLV,4.68%,0.5,17.91%,0.3
4,82,SPHD,4.67%,0.3,39.82%,0.1
14,86,BIV,4.67%,0.6,0.43%,10.8
9,71,EWH,4.67%,0.3,35.14%,0.1
13,74,IDLV,4.67%,0.6,9.14%,0.5
10,71,DTH,4.67%,0.4,28.58%,0.2
10,89,BIV,4.67%,0.6,0.43%,10.8
11,88,BIV,4.67%,0.6,0.43%,10.8
8,80,RINF,4.66%,0.4,26.82%,0.2
5,86,SPHD,4.66%,0.5,19.22%,0.2
4,95,FDL,4.66%,0.8,8.96%,0.5
14,80,BIV,4.66%,0.4,20.68%,0.2
4,80,FDL,4.66%,0.3,53.35%,0.1
4,81,EWH,4.66%,0.3,39.71%,0.1
4,86,PHDG,4.66%,0.4,23.53%,0.2
11,82,IOO,4.66%,0.7,4.30%,1.1
5,79,SPLV,4.65%,0.3,38.84%,0.1
8,86,IOO,4.65%,0.7,2.33%,2.0
15,78,GNMA,4.65%,0.4,20.20%,0.2
12,72,SPLV,4.65%,0.4,36.02%,0.1
13,72,GNMA,4.65%,0.3,36.92%,0.1
15,70,SPTI,4.65%,0.3,44.92%,0.1
11,87,XMPT,4.65%,0.5,17.30%,0.3
8,73,GNMA,4.65%,0.3,35.65%,0.1
14,77,SPLV,4.64%,0.6,9.47%,0.5
11,81,RSPT,4.64%,1.0,2.07%,2.2
9,89,XMPT,4.63%,0.5,14.50%,0.3
9,78,RINF,4.63%,0.4,26.82%,0.2
10,70,EWH,4.63%,0.3,32.47%,0.1
8,77,BIV,4.63%,0.3,41.78%,0.1
11,78,SPTI,4.63%,0.3,50.27%,0.1
10,75,BIV,4.63%,0.3,43.86%,0.1
4,88,DTH,4.62%,0.5,23.02%,0.2
11,67,PHDG,4.62%,0.3,35.82%,0.1
12,74,EWH,4.62%,0.5,24.47%,0.2
4,90,SPTI,4.61%,0.3,24.67%,0.2
7,88,IOO,4.61%,0.7,2.33%,2.0
11,69,DHS,4.61%,0.3,47.47%,0.1
12,80,IOO,4.61%,0.7,4.26%,1.1
6,65,SPLV,4.61%,0.3,73.79%,0.1
8,78,FXE,4.61%,0.4,25.66%,0.2
11,81,IOO,4.61%,0.7,4.30%,1.1
10,82,RSPT,4.61%,1.0,2.07%,2.2
14,73,IDLV,4.60%,0.6,9.14%,0.5
7,83,DTH,4.59%,0.7,7.23%,0.6
5,90,SPTI,4.59%,0.3,20.67%,0.2
6,92,TQQQ,4.59%,0.9,2.78%,1.7
12,74,USCI,4.59%,0.4,25.09%,0.2
9,82,FDL,4.58%,0.7,8.96%,0.5
6,75,EWH,4.58%,0.3,33.79%,0.1
